岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
智能体开发,能信安科技,2.5-3万,深圳·龙华·龙华,3-5年,硕士,股份制企业,100-299人,信息安全,,职位描述 岗位背景】我们正在构建下一代 “AI原生网络安全运营智能体” 。该智能体不仅用于海量告警的降噪与自动化处置，还将具备自主规划攻击路径、执行自动化渗透测试的能力。我们寻找的不仅是一名程序员或安全工程师，而是能将 LLM应用、Agent架构设计与攻防实战 深度融合的复合型人才。【任职要求】1、教育背景：计算机科学、网络安全、人工智能、信息安全或相关专业硕士（211）及以上学历。2、3年以上网络安全或AI领域研发经验。3、参与过大型安全产品（如SIEM、SOAR、IDS/IPS、漏洞管理平台）或AI平台（尤其是涉及LLM应用、自动化决策）从0到1研发并落地的经验。4、深厚的网络安全功底：精通网络协议、系统安全、漏洞原理、攻防技术、安全运营流程（如事件响应、威胁狩猎）。5、扎实的AI/ML能力：深入理解机器学习、深度学习原理，有实际项目经验（如使用TensorFlow/PyTorch），熟悉NLP、异常检测、强化学习等技术在安全领域的应用。6、大语言模型经验：对LLM的原理、应用、微调、安全及伦理问题有深刻理解和实践经验。7、系统架构能力：具备设计和构建高可用、可扩展、安全的分布式系统架构的能力。8、编程能力：精通至少一门主流编程语言（如Python、Go、Java、C++）。
Java智能体开发,深圳市法本信息技术股份有限公司,1.5-1.6万,深圳·南山·粤海,3-5年,本科,上市公司,1000-9999人,软件/IT服务,优选雇主,职位描述 岗位职责：1、基于 Java/Python 双栈参与智能体开发框架模块的编码与单元测试，包括运行时、Skill 编排、上下文透传等。2、参与 AI 智能体工程脚手架工具的开发与维护，包括项目生成器、代码模板、构建脚本等，协助智能体应用开发团队使用。3、参与安全合规治理模块的开发与维护，包括身份认证、审计日志、数据脱敏、熔断限流等模块。4、编写技术文档，如接口契约、使用手册、迁移指南等，配合持续集成流水线适配。任职要求：1、精通 Java 与 Python 双技术栈，具备扎实的面向对象设计、并发编程及性能优化能力。2、熟悉AgentScope、LangChain、LangGraph中的至少一种智能体开发框架，理解 ReAct Agent、Workflow Agent、多智能体编排、Tool/Skill 调用机制及运行原理。熟悉 MCP / A2A / AG-UI 等智能体交互协议，有 LLM 应用工程化落地经验。3、熟悉 Git、Maven/Gradle、CI/CD 流水线及代码质量工具，具备工程化思维与自动化落地意识。4、具备优秀的技术文档编写能力，能够输出结构清晰、可直接交付的接口契约、使用手册及迁移指南等。5、具备良好的沟通表达能力，能够面向业务开发团队进行技术布道、使用指导及问题排查。6、工作严谨细致，对代码质量、架构规范有较高要求，能够适应快节奏的迭代开发与跨团队协作。
ai数字化产品经理,港中旅(深圳)国际会议展览有限公司,9000-13000元,深圳·南山·粤海,3-5年,本科,国企,20-99人,旅游服务,,职位描述 1.AI工具落地应用：引入并落地AI工具/产品（如智能客服、AIGC、热点信息自动搜集、AI Agent等），解决高重复、标准化的人工工作。2.AI与信息化策略：深度调研各部门及业务线需求，设计并落地匹配的AI技术与信息化营运策略，推动自动化营运，降低人工成本。3.系统与硬件管理：负责公司内部网络、软件系统及硬件设备的管理、营运与优化，保障系统和硬件稳定高效运行。4.系统对接与升级：负责业务系统的功能需求对接、软硬件升级迭代，以及与外部系统的API对接与集成，确保系统间数据流转顺畅。5. 数字化流程改造：主导核心业务流程的数字化改造，通过信息化工具重构流程，提升营运效率与数据化决策能力。6.产品与研发协同：统筹官网、APP及第三方开放平台的产品规划、研发对接与效果评估，保障产品迭代与业务目标对齐。7.业务赋能：运用信息化、数字化营运及AI技术（含AI Agent/Agent skill）赋能各部门与业务线，重点赋能内容创作与客服场景，提升业务效能。8.供应商对接与管理：对接外部SaaS服务商、硬件供应商及外包团队，统筹供应商管理、合同执行与服务质量评估。
市场分析专员,万宝盛华企业管理咨询(上海)有限公司大连分公司,1.2-1.5万,深圳·龙岗·坂田,1-3年,本科,上市公司,1000-9999人,产业互联网平台,已上市,职位描述 岗位职责： 1、支撑收集和分析手机/穿戴/平板/音频等产业市场趋势、区域动态等内容，辅助输出产业分析报告； 2、辅助分析宏观政经、行业趋势、三方数据（GFK/IDC）、新品上市等专题，支撑业务洞察与决策； 3、支撑通过AI工具监测海外终端产品的价格及促销政策变化； 4、支撑负责洞察行业AI趋势与运用场景，适配工作流提升效率。 岗位要求： 1、大学本科以上学历，有消费品行业经验优先； 2、对消费者产品及品牌信息有一定的认知和理解； 3、了解一个或多个Amazon、Lazada、Shopee、Mercado等电商平台运作机制； 4、好学上进，熟练使用业界领先的AI工具（如GPT、Gemini、Claude等），对Agent、模型推理有一定理解和使用能力 ； 5、有敏锐的市场观察能力和分析能力，能对大型数据/信息要点进行提炼总结。
AI应用工程师（Junior）,华润三九医药股份有限公司,面议,深圳·龙华·观湖,1-3年,本科,上市公司,10000人以上,生物/制药,优选雇主,职位描述 岗位职责:1. 基于实验室确定的架构和技术路线，负责AI应用的具体开发、测试和迭代工作;2. 参与Prompt工程设计和优化，提升模型在特定场景下的响应质量;3. 配合架构师完成模型微调的数据准备、训练执行和效果评估;4. 快速将产品经理/研究员提出的创意转化为可体验的MVP原型，支持种子用户测试;5. 主动追踪最新的AI开源项目和技术动态，尝试将新技术引入实验室的日常开发;6. 在开发过程中独立思考，提出产品优化建议和技术改进方案;7. 撰写技术文档，确保代码和架构的可维护性。任职要求:1. 教育背景：计算机、人工智能、软件工程等相关专业本科及以上学历2. 工作经验：1-3年相关经验，但需有扎实的AI项目实践经验（包括个人项目、实习项目、竞赛项目等）；3. 专业技能：熟练掌握Python，具备良好的编码习惯和工程化思维；熟悉至少一种主流大模型的使用和API调用，有Prompt工程实践经验；了解LangChain， AutoGen等Agent框架，自己动手做过Agent类小应用（请在简历中附上项目链接或说明）；熟悉Git等版本控制工具，了解基本的软件开发流程；对前端基础（HTML/CSS/JavaScript）有一定了解者优先；必须提供：GitHub、技术博客、AI项目展示（三选一）；4. 核心素质：对AI技术有发自内心的热爱和好奇心，业余时间乐于折腾新技术、新工具；极强的学习能力和动手能力，遇到问题能够主动查阅资料、寻求解决方案；具有创新精神，不满足于完成任务，敢于提出自己的想法并尝试实现；良好的团队协作意识，乐于分享和交流；自驱力强，能够在明确目标下自主推进工作。
AI应用工程师,方大集团,3-3.5万,深圳·南山·桃源,3-5年,,股份制企业,1000-9999人,房地产开发经营,已上市,职位描述 岗位职责：1、设计并实现企业级AI行为体系：Prompt工程、Agent编排、意图识别、多轮对话管理2、构建RAG语义知识库管线（Milvus向量检索 + 文档切片 + 检索增强生成）3、落地AI三级降级链（DeepSeek → 通义千问 → 私有模型），确保生产环境高可用4、实现多模态智能填单（语音/图片/文档解析 → 结构化数据）5、AI质量保障：幻觉控制、错误处理、边界Case覆盖、模型评测体系6、探索模型微调和私有化部署方案硬性要求：1、3年以上后端/全栈开发经验，至少1年AI应用工程实战（Agent/Copilot/RAG方向）2、熟悉主流大模型API集成（OpenAI/DeepSeek/通义千问），有Prompt Engineering生产级经验3、熟悉向量数据库（Milvus/Pinecone/Weaviate任一）和RAG管线搭建4、熟悉Node.js或Python，能写生产级代码（不只是调API的Demo）5、有AI应用从开发到生产上线的完整经历加分项：1、有企业级AI产品（OA/CRM/ERP类）落地经验2、做过Agent编排框架（LangChain/LlamaIndex/自研）3、了解模型微调（LoRA/QLoRA）和私有化部署4、有OpenClaw或类似AI助手平台开发经验5、对AI产品的用户体验有敏感度，不只关注技术实现
Python开发工程师,上海微创软件股份有限公司,1.2-1.8万,深圳·坪山·马峦,3-5年,本科,合资,10000人以上,软件/IT服务,,职位描述 外包岗位服务端开发（Python/java ）1.工程能力要求：熟悉python语言，熟悉多任务并发，异步、协程的使用，基本功要扎实，对于http，websocket，sse等接口有使用经验，能理解不同场景的应用，对于接口的性能可以进行优化；熟悉基础的接口鉴权功能：token认证，oauth2授权，签名验证等；熟悉mysql，redis，消息队列，nacos配置，网关 等基础中间件有使用经验，能了解一些场景下的选型；2.大模型能力要求：熟悉基于大模型的构建agent智能体的开发 ，对于大模型的API接口有封装调用经验（了解接口中常用字段的含义），对于prompt有调优经验；熟悉rag知识库的构建和工作机制：常用向量模型，常用向量数据库；文档切片处理，数据如何清洗等；了解MCP，function-call等相关技术；了解服务的部署和运维；常用的linux 操作命令，docker服务部署等；3.管理平台、运营平台的开发能力要求；具有微服务下服务数据的埋点，链路耗时追踪，数据收集统计查询等相关设计和开发经验；具有账号登录认证，权限管理等 相关设计和开发经验；具有数据安全方面相关经验；接口的性能优化，数据库sql优化等；对前端相关知识有了解；对于基础运维的知识有掌握。
AI开发工程师,西安明月华炎信息科技有限公司,1-2万,深圳·南山·粤海,3-5年,大专,股份制企业,100-299人,软件/IT服务,D轮及以上,职位描述 【任职要求】1、计算机科学、软件工程、人工智能等相关专业2、3年以上AI工程经验3、精通LLM应用开发，深入理解RAG、Agent、Function Calling、Prompt Engineering等核心范式，能独立设计和优化LLM应用架构4、具备智能体生产实战经验，熟悉LangChain / LlamaIndex / CrewAI / AutoGen等至少一种框架的真实生产环境应用5、熟练运用AI模型快速编写代码，掌握Java编程语言，精通Python，具备扎实的后端开发能力，能编写高质量、可维护的工程代码6、熟悉模型部署与容器化技术，具备Docker、Kubernetes、MLOps/LLMOps管道的实战经验，熟悉模型版本管理与效果监控7、熟悉向量数据库，有Qdrant / Milvus / Weaviate / Pinecone等向量存储的选型、使用与调优经验8、具备良好的沟通能力和团队协作精神岗位职责和工作内容1、擅长应用AI工具编写代码，具备较强的AI原生开发能力2、智能体开发：负责面向业务场景的AI智能体（Agent）全流程开发，包括任务规划与分解、工具调用（Function Calling）、多Agent协作编排、上下文记忆管理等核心模块的架构设计与实现。3、模型部署、调优与推理加速：完成模型量化、加速推理、混合精度调优，保证服务响应性能。4、知识库建设：负责向量数据库的选型、搭建与检索策略优化，持续提升检索质量与生成准确性。5、数据处理与集成：处理多源异构数据（表格、文档、图纸等），完成清洗、结构化及向量化存储，与业务数据库对接。6、系统后端开发：承担AI应用相关的后端服务开发，包括高并发API设计、微服务架构、数据库交互、异步任务队列及缓存策略。7、技术文档与协作：编写技术设计文档、部署方案及操作手册，开展团队技术培训分享与知识传递。【职位概述】AI工程师，负责公司AI智能体的开发、模型部署、推理及调优，支撑系统后端开发，需要参与从需求分析、架构设计到开发和部署上线的完整链路，打造高可用、可扩展的智能体应用，推动业务流程自动化与智能化升级。
大模型应用开发工程师,深圳市睿盟创新生物科技有限公司,1.8-3万,深圳·南山·桃源,1-3年,本科,民营,20-99人,医疗设备/器械/耗材,,职位描述 岗位职责：1、 开发基于检测数据的大模型算法分析系统，实现数据智能分析与决策支持。2、 设计物联网驱动的数字化全自动产品生产与质量全生命周期管理系统。3、 构建传感器网络与智能终端，实现物料全流程数据自动采集与闭环管控。4、 开发数据实时分析与可视化平台，提升生产效率与质量管理水平。5、 结合公司IVD产业链创新产品需求，优化算法与系统架构。岗位要求：1、 本科及以上学历，计算机科学、数据科学或相关专业背景。2、 精通机器学习、深度学习算法，有大模型开发与应用经验。3、 熟悉物联网技术，有工业自动化或医疗设备数据采集系统开发经验。4、 在大模型应用开发经验，熟悉数据处理、模型微调、RAG系统与Agent开发，熟练Python、TensorFlow/PyTorch、Java、Linux等开发工具，有数据可视化平台开发经验。5、 工作态度踏实认真，重视团队合作，沟通能力良好，能够在有限资源下高效完成任务。
Ai工程师(A192623),桂林凯文彼德科技有限公司,2-3万,深圳·南山·粤海,3-5年,,民营,20-99人,医疗设备/器械/耗材,,职位描述 职位描述： 1、负责公司内部AI agent落地； 2、负责口腔数字化影像AI识别诊断与口腔全场景AI应用的产品落地，对产品上市负责。 职位要求： 1、本科及以上学历，计算机、生物医学工程、医学影像等相关专业优先； 2、熟悉机器学习、计算机视觉（CV）、大模型（LLM）等AI相关技术；具备良好的数据分析能力； 3、具备优秀的沟通协调能力，能够高效联动算法、软件、临床、市场等多团队，推动产品落地与迭代； 4、有3年以上AI agent工业/医疗的应用相关工作经验优先。
运维与数据支持顾问,深圳市兆珑科技有限公司,1万,深圳·南山·粤海,3-5年,本科,合资,100-299人,软件/IT服务,,职位描述 岗位职责：1、核心职责：监管Agent进行系统维护、运维自动化及数据分析支持；负责调试运维监控与异常处理的相关Skill技能库和代理矩阵。 2、专业审核 (Output Check)：根据领域专业经验，对 AI 定时产出的结果进行质量监管与风险评估。 3、方法论补位：在各Skill补充与Agent完整协作前，持续进行业务逻辑调整与专业方法补充，确保AI学习路径的正确性。 4、Skill 质量交付：对所属领域的Skill交付质量负责，按照业务负责人要求配合AI战略顾问完成各节点 AI 能力的闭环搭建。 任职要求： 1、具备成熟的系统运维经验，熟悉系统维护升级中的流程与常见问题，有独到的方法论与应变能力。 2、有独立的方法论与明确工作流，能配合AI战略顾问与业务负责人实现自动化运维与精准数据复核。 3、AI 协同意识：认同“人机协作”理念，能够将个人专业技能拆解为可供 AI 学习执行的指令逻辑。 4、行业沉淀：在该领域有深厚的业务背景，能为“AI执行”提供高质量的评估标准。 5、协作模式：兼职非全职岗位，无需线下办公，但每周需进行工作规划与总结，可线上与团队协作，接受灵活任务安排。可定期线下碰面者优先。
AI应用开发工程师,慧灵科技(深圳)股份有限公司,1.5-3万,深圳·宝安·西乡,1-3年,本科,民营,300-499人,仪器仪表,D轮及以上,职位描述 岗位职责1、使用已有大模型接口，开发慧灵 AI OS系统，如：内部知识库、工具链、智能客服、智能问数2、与产品经理、业务专家及后端工程师紧密合作，共同定义产品需求，并将AI能力无缝集成到现有平台中3、AI Infra平台建设：参与或主导AI基础架构平台/工具链的设计与建设，包括但不限于CI/CD for Models（模型的持续集成与部署）、模型版本管理、在线实验（A/B测试）平台等，提升算法团队的迭代效率4、研究行业专用小模型/垂直模型的训练和部署，负责相关领域的数据收集、清洗、送标、微调、训练、效果评估工作 任职要求 1、有计算机科学、机器学习，人工智能，数据科学或相关领域知识，本科以上学历，AI工作经验 2、编程语言：Python + FastAPI框架，使用Python构建高性能、高可用的后端API服务 3、深度学习框架：Pytorch / TensorFlow 4、向量数据库：Milvus、Faiss、ES、Chromdb 5、熟悉 AI 应用开发的核心技术要点，如 MCP、Function Call、Agent 架构设计、RAG 知识库构建与检索、长/短期记忆等，并能灵活运用 6、积极使用AI辅助编程： 熟练使用至少一种AI编程助手，并乐于探索其提升工作效率的边界 加分项 1、有AI产品从0到1的落地经验 2、深刻理解主流大模型厂商（如 OpenAI、Qwen、Claude、LLaMA 等）产品特性及优劣，有深度或重度使用经验者优先 软技能 1、快速学习能力： AI领域日新月异，需要持续学习新技术和工具 2、产品思维： 关注用户体验，理解业务目标，而不仅仅是技术实现
AI工程师,深圳丽斯高电子有限公司,1.5-2.5万,深圳·福田·沙头,1-3年,本科,外商独资,100-299人,半导体/芯片,,职位描述 岗位职责： 1：引入AI工具内部推广与流程优化：制定企业内部AI应用推广的短期与长期计划，设计定制化AI解决方案（可能涉及RPA、智能问答、数据分析等）。 2：系统集成与AI看板开发 系统集成：金蝶ERP/NAV、i人事等系统与飞书平台的集成工作，利用飞书的API和AI能力，设计并开发面向管理层的经营看板，实现关键业务指标（KPI）的可视化监控与智能分析。 任职要求： 1：学历与经验：本科及以上学历，计算机科学、人工智能、软件工程等相关专业。2年以上信息化、智能化项目经验，有AI项目实施、系统集成或企业内部AI工具推广的成功案例者优先。 2：技术能力：编程与开发：熟练使用 Python、SQL等，了解主流AI框架。 3：系统集成：具备接口开发与调试能力。有Dynamic NAV、飞书开放平台、企业微信或类似平台集成经验者尤佳。 4：AI应用知识：了解机器学习、自然语言处理（NLP）、RPA等至少一个领域，能够进行技术选型。具备大模型（如GPT、Gemini、Grok）及RAG、Agent等应用技术经验者优先。 5：综合素质：出色的沟通能力、项目推动力和团队协作精神
数智化产品经理,大族数控,1.5-3万,深圳·宝安·福海,3-5年,本科,上市公司,1000-9999人,电气机械/电力设备,优选雇主,职位描述 职责描述： 1. 制定产品战略路线图，深入一线挖掘高价值AI场景并量化业务收益。 2. 重构端到端数字化工作流，嵌入AI能力打造智能决策与自动化功能。 3. 统筹需求分析至上线运营的全生命周期管理，确保项目高效交付与业务目标达成。 4. 协同技术团队完成模型训练数据构建、Prompt优化及工程落地，把控迭代进度与质量。 5. 建立数据驱动的效果评估与用户反馈闭环，沉淀方法论并推动组织数智化能力建设。 岗位要求： 1. 经验：本科及以上，5年+B端/内部数字化产品经验，2年以上相关领域（营销/研发/供应链/经营办）经验；有AI/大数据产品落地案例者优先；有团队管理经验优先。 2. 深刻理解相关领域业务流程与痛点，能将业务语言转化为产品语言。 3. 规划智能客服、营销、办公及决策等AI原生应用场景，并依托对大模型核心技术（RAG、Prompt工程、微调、SKILL）的深刻理解，将AI能力高效转化为可落地的业务解决方案。 4. 具备数据分析能力（A/B测试、漏斗分析）；极强的逻辑抽象能力，能拆解模糊需求为清晰方案。 5. 能够主导方案设计到项目执行、上线运营的全链路，把控AI产品落地关键环节，并建立数据驱动的效果评估与迭代闭环 6. 软素质：优秀跨部门沟通与推动能力；对数字化/AI有热情，自驱力强，具备从0到1创业心态。 7. 加分项：有AI原生应用（Copilot、Agent、智能问答）设计经验。熟悉垂直系统（CRM/PLM/ERP/SCM/BI）。咨询公司或头部互联网企业数字化产品经验。
AI/多模态交互工程师,麦田控股集团有限公司,1.2-2.4万·13薪,深圳·南山·粤海,3-5年,本科,民营,100-299人,人工智能,,职位描述 【岗位职责】1. 负责本地多模态AI能力的研发与优化，包括语音识别（ASR）、语音合成（TTS）、视觉识别、OCR等。2. 负责智能体（Agent）的逻辑设计与开发，实现任务拆解、工具调用、上下文记忆与流程编排。3. 研究并落地本地大模型与业务场景的结合方案，提升模型在本地环境下的响应速度与效果。4. 优化模型在客户端的性能，降低资源占用（内存、CPU），提升推理速度。【任职要求】1. 本科及以上学历，计算机、人工智能、数学等相关专业。2. 精通 Python，熟悉 PyTorch、TensorFlow 等深度学习框架。3. 熟悉主流大模型（如 LLaMA、Qwen、Yi 等）的原理与应用。4. 有 ASR/TTS、CV 视觉识别、NLP 或 Agent 开发经验者优先。5. 熟悉模型量化、蒸馏、推理加速技术（如 llama.cpp、ONNX Runtime 等）。6. 有本地部署、端侧AI开发经验者优先。
研究院实习生,华润电力,140-150元/天,深圳·南山·粤海,经验不限,硕士,国企,10000人以上,电力/水利/热力/燃气,已上市,职位描述 投递简历时请务必备注：意向实习岗位和工作地。 财务岗1人（郑州） 要求：硕士在读，财务会计专业、审计专业；具备数据整理、统计及分析能力；能熟练应用Office等常用办公软件；熟悉国内企业会计准则、会计核算知识、国家财务会计相关法律法规及税收政策。 实习内容：复核、扫描财务报账单据；整理装订财务档案；登记维护应收合同电子版台账，对往来款进行日常管理。 纪检岗1人（郑州/深圳） 要求：硕士在读，纪检监察、马克思主义理论、思想政治教育、政治学、哲学等相关专业；实习内容：参与有关公文管理、会议组织、公文撰写等工作。 网络安全岗1人（深圳） 要求：硕士在读，计算机、网络安全、人工智能、软件工程等相关专业；熟悉网络安全相关知识，包括风险评估、网络攻防等；熟悉机器学习、深度学习、大模型等核心AI算法原理及应用；能熟练应用Office等常用办公软件，具备较好的文字能力；掌握至少一种主流编程语言，具备基本的编码能力。 实习内容：参与“AI+网络安全”研究；参与网络安全技术优化项目实施；参与网络安全常态化运营保障。 系统运维岗2人（武汉） 要求：硕士在读计算机、财务、信息管理与信息系统相关专业；具备数据信息管理整理、统计及分析能力；能熟练应用Office等常用办公软件；了解热能动力工程工程基本常识。 实习内容：参与运维知识库梳理；参与系统功能测试；参与项目可行性研究。 AI发电应用研究岗2人（深圳/郑州） 要求：硕士在读，计算机科学、人工智能、自动化、热能工程（AI方向）等相关专业；熟练掌握Python，熟悉PyTorch/TensorFlow等深度学习框架；熟悉大语言模型（LLM）及Agent智能体开发，或具备计算机视觉（CV）项目经验；加分项：熟悉Docker/K8s容器化部署，或具备Vue/Svelte/React前端开发能力；具备良好的工程落地能力和英文论文阅读能力。 实习内容：参与AI中台建设：协助进行AI算法模型的容器化封装、部署及性能优化； 工业智能算法研发：参与火电厂无人巡检视觉识别、多智能体（Multi-Agent）决策系统、过程控制强化学习模型等核心算法的开发与验证； 生成式AI应用开发：基于大模型开发行业垂直应用，包括后端API设计与前端交互实现；前沿技术调研：跟踪工业大模型技术趋势，辅助撰写科研项目申报书及专利。 电气试验研究岗1人（郑州） 要求：硕士在读，电力系统、高电压与绝缘及电机电缆等相关方向；具备数据整理、统计及分析能力；能熟练应用Office等常用办公软件；了解发电厂电气部分基本常识。 实习内容：参与新能源并网性能测试；参与电气设备预防性试验；参与工程可行性研究。 自动化创新研发岗（人工智能方向）2人（郑州） 要求：硕士在读，计算机、软件工程、人工智能等相关专业；熟悉常见的编程语言，如Python、Java、C#、VBA等；了解物联网开发知识。熟练运用计算机办公软件，精通Excel数据处理、分析技能；具备数据分析能力和写作能力。 实习内容：参与云基工业智能控制系统算法模块测试，根据业务需求编写算法模块业务代码并进行单元测试与封装；使用低代码平台开发业务逻辑；参与项目的实施内容策划。
java软件开发工程师实习生,莱仕力智能技术(深圳)有限公司,180-200元/天,深圳·罗湖·东晓,经验不限,本科,民营,20-99人,物联网,,职位描述 【岗位职责】1、参与智能仓储核心系统（如WMS仓库管理系统、WCS设备控制系统、库存/订单调度模块等）的需求分析、功能设计与代码开发；2、配合软件、硬件工程师完成Java后端接口开发、单元测试、Bug修复与基础性能调优；3、协助完成数据库设计与维护（MySQL/Redis等），配合前端、硬件工程师完成设备联调与数据对接；4、参与系统日常部署、日志排查、接口文档编写与技术沉淀，保障代码规范与可维护性；5、学习并实践仓储业务逻辑（如入库/出库/盘点/波次策略、路径规划基础、IoT设备状态采集等）；6、参与团队敏捷迭代、代码评审与技术分享，持续跟进云原生、微服务、实时数据处理等工程实践。【基本要求】1、计算机、软件工程、物联网、自动化等相关专业本科及以上学历，2025/2026届应届毕业生，实习合格可转正，2026年之后请勿投；2、扎实的Java基础，熟悉面向对象编程、集合框架、多线程基础及JVM核心概念，了解常用设计模式；3、熟悉Spring Boot、MyBatis等主流开发框架，具备RESTful API设计与开发经验，能独立完成基础业务模块编码；4、掌握MySQL等关系型数据库，了解SQL编写与基础优化，熟悉Redis缓存机制及常见应用场景；5、熟练使用Git、Maven/Gradle等开发工具，了解Linux基础命令，接触过Docker容器化部署；6、具备良好的逻辑分析能力、问题排查能力与团队协作意识，对智能仓储、物流自动化、工业物联网有浓厚兴趣。【加分项】1、了解消息中间件（RabbitMQ/Kafka/RocketMQ）或微服务架构（Spring Cloud/Alibaba）；2、熟悉MQTT/Modbus/TCP等物联网通信协议，或有传感器/PLC/AGV对接经验；3、参与过WMS/WCS、ERP、物流调度类项目，或在GitHub有开源贡献、技术博客输出；4、获得过ACM、蓝桥杯、互联网+、挑战杯等相关竞赛奖项。5、熟练使用AI，至少会一种Agent编程。
1191H0-AI工程化,平安科技,面议,深圳·南山·粤海,5-10年,硕士,股份制企业,1000-9999人,人工智能,,职位描述 工作职责要求：1.行业技术追踪与引入：跟踪前沿AI技术（如协同控制、分布式学习、各类agentic AI框架），评估其在金融场景的应用潜力，研究及引入垂域agentic AI技术（如 Deep Research、CodeAgent、Agentic RAG）的进展，构建技术选型矩阵，制定金融场景的适配路径与集成方案。2.场景落地效果及性能优化：深人理解金融业务，将agentic ai技术与业务痛点结合，提供创新的技术解决方案并推动落地。主导设计并持续迭代面向金融应用场景的agentic ai系统，特别是harness engineering工作，重点突破 ContextEngine、Memory、Tool Use、ReAct、Plan-and-Execute、Skill、Knowledge Graph 等核心能力，以提升相关能力在复杂金融应用环境中的自主性与适应性。结合业务场景对性能(TTFT/TPOT/吞吐）的需求，不断优化推理性能，实现有效的推理加速，提升用户体验及降低token成本。3.具备较强的协调推进能力，可独立对接多方需求，保障技术方案顺利落地执行。任职资格：1.教育背景：计算机科学、人工智能、数学、统计学或相关专业硕士及以上学历，NLP/知识图谱/机器学习/视觉图像/语音视频等优先。2.技术能力：熟悉 Python 编程语言，了解常用数据结构和算法，熟悉使用Al coding工具。了解常用的机器学习、深度学习、强化学习相关算法，对 Transformer架构、gpt/deepseek、 openclaw、copaw、langchain等有了解。深入了解agentic ai相关技术如agent loop、memory、content engine、harness engineering优先。3.工作经验：具有AI相关工作经验不少于5年，其中大模型相关项目经验不少于2年，包括但不限于大模型/强化学习/agentic AI/智能体/后训练/预训练/AI coding/NLP/知识图谱/对话机器人/智能客服/内容生成/内容理解等相关项目经验优先。在国际顶会或者期刊发表过论文、具有国际顶级竞赛及榜单排名靠前者优先。具有技术管理经验优先。
软件工程师,同创金泰项目管理(北京)有限公司,1-2万,深圳·南山·沙河,经验不限,本科,民营,100-299人,房地产开发经营,,"职位描述 工作职责：1、参与ai agent项目的开发； 2、进行 AI Agent 系统的日常运行监控、日志分析和问题排查。 3、处理系统运行中出现的 Bug，并在指导下进行修复。 4、协助进行 Agent 模型的提示词（Prompt）微调和效果测试。 5、根据业务需求，对接和调试外部大模型 API 接口。 6、管理和维护与 Agent 相关的数据库连接和基础数据。 7、撰写相关的技术文档，确保工作的交接和知识的沉淀。 职位要求： 1、本科及以上学历，计算机科学、软件工程、人工智能、电子信息、数学等相关专业毕业。 2、熟悉 Python 编程语言，具备良好的编程习惯。 3、了解 RESTful API 的基本概念，有过调用第三方 API 的经验。 4、具备基础的 SQL 知识，能够编写简单的数据库查询和操作语句（例如 MySQL, PostgreSQL 等）。 5、了解 Git 的基本操作，能够使用 Git 进行版本控制与团队协作。 6、拥有强烈的学习意愿和好奇心，能够快速学习新技术和新知识。 7、具备良好的沟通能力和团队合作精神，能清晰地描述问题。"
软件测试,软通动力信息技术(集团)股份有限公司,9000-16000元,深圳·龙岗·坂田,经验不限,本科,上市公司,10000人以上,软件/IT服务,最佳雇主,"职位描述 软件测试 人员要求： 1、本科学历，有3年以上软件项目的经验，熟悉测试原理、测试工具的应用: 统招本科学信网及以上学历，理工科相关专业优先, 2年以上测试工作经验。"
