岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
智能体方案架构师,美好视界,7-12K,苏州,本科,1-3年,20-99人,广告/公关/会展,员工旅游|五险一金|团建聚餐|零食下午茶|节日福利|年终奖|底薪加提成|带薪年假|绩效奖金|有无线网,通过Dify+大模型开发Agent，简化日常工作负担 需来自要具备 1、基础的来自编程能力、python、Java等任意一种均可 2、数据分析能力
AI智能体（Agent）开发工程师,亿友慧云,15-20K,苏州,本科,1-3年,100-499人,计算机软件,员工旅游|节日福利|加班补助|零食下午茶|年终奖|五险一金,"岗位职来自责： 负责来自公司 AI 玩具解决方案的研boss发，主导boss垂直领域大模型的优化与迭代。 负责公司数据集的构建及管理，保障模型训练和应用质量。 基于 LangChain、LlamaIndex 等框架实现智能体 (Agent) 功能，构建多模态应用（⽂本、语⾳、图像、视频）的交互能⼒。 使用 Python 进行⼤语言模型（如 GPT、DeepSeek、Qwen 等）的应用开发与微调。 设计并实现多智能体协作、任务分解、规划与执行机制，优化智能体上下文记忆、工具调用 (Tool Use)、检索增强生成 (RAG) 等能力。 开发并集成外部工具（搜索引擎、数据库、API、交易/办公系统等），实现智能体与企业内部系统对接，提升自动化和智能化水平。 参与构建微服务或 API 服务，确保系统的可扩展性和稳定性。 负责模型推理服务的部署与优化（vLLM、FastAPI、Ray、Docker/K8s），监控并优化大模型推理性能，解决吞吐量、延迟和显存瓶颈问题。 任职要求： 熟练掌握 Python 编程，具备良好的工程化能力和代码规范意识。 熟悉 Docker、分布式架构及微服务设计，熟练掌握 RESTful API 接口开发。 熟悉 多线程、协程、异步编程，掌握任务调度与并发方案。 精通 TCP/IP、HTTP 协议及网络编程，熟悉各种 IO 模型。 熟悉 Linux 开发环境，掌握 Git、Docker 等开发和部署工具。 熟悉深度学习框架 TensorFlow、PyTorch，对大模型有实践经验。 熟练使用 Numpy、Pandas 等数据处理工具。 熟悉大模型应用开发框架，如 LangChain、RAGFlow、n8n、Dify，并了解 Agent 框架原理（任务规划、工具调用、记忆管理）。 熟悉国内外主流 AI 平台及模型，如 Dify、Coze、阿里、百度、腾讯、智普 GPT、OpenAI API、Qwen、DeepSeek 等。 熟悉国内主要的AI语音解决方案，asr,tts,vad等并实际应用进行调优 经验与能力 有多智能体协作系统或 RAG 系统开发经验，能够基于业务场景设计智能体解决方案。 有大模型应用落地经验者优先，如对话机器人、知识库问答、智能交易或 AI Agent 工具链集成等。 具备良好的算法基础和独立解决技术问题的能力。 有类似小智的AI玩具开发经验者优先"
Agent 开发工程师（Python）,微纵云,12-24K,苏州,本科,1-3年,0-20人,移动互联网,年终奖|带薪年假|五险一金,【公司介绍】领健成立于2015年，总部位于上海，是消费医疗智能化解决方案领导者。领健已服务全国近60000家消费医疗机构，覆盖650个城市，在行业内处于遥遥领先地位。公司从口腔行业SaaS战略升级到口腔⾏业Agent as a Service平台，打造以Agent为核⼼的AI Native全场景数智化解決⽅案，深度整合口腔医疗产业上下游，成为口腔垂直行业智能化平台领导者。 1.快乐的工作氛围，丰富多彩的员⼯活动（简单、开放、激情、分享、感恩、自由、快乐工作，认真生活）； 2.透明清晰的晋升、晋级机制，让每一位进入领健的人都成为最好的自己； 3.已经E+轮融资完毕的未上市盈利企业，未来潜力无限岗位职责： 没啥乱七八糟的职责，结果为导向，完美型人物不存在；我们只要你，上班的时间认真上班，相信你也想到最优秀的地方和最优秀的人学习与较量，大家一起敢想、敢干、敢拼，去征服整个上海、苏州、无锡口腔行业市场； 任职要求： 1.负责区域内口腔机构客户的开发与维护，达成公司Al+SaaS 融合产品的销售目标，推动客户向智能化升级； 2.深入挖掘客户业务痛点，结合公司AI辅助诊疗、智能工牌、数据分析模型等AI能力，为客户提供数智化转型+AI赋能的整体解决方案，推动合作落地； 3.维护现有客户资源，通过客户拜访、行业会议、AI产品体验等方式拓展商机，向客户传递AI驱动业务增长的价值理念，建立长期稳定的客户关系； 4.定期拜访重点客户，收集并反馈客户对AI功能的使用体验与迭代需求，协同产研团队优化AI产品，提升客户满意度与续约率； 5.严格执行公司销售流程，规范使用CRM系统，按时完成日报、周报等过程管理要求，并持续学习AI产品知识，提升专业销售能力； 6.与实施、客户成功等团队紧密协同，确保客户顺利上线AI模块并持续产生业务价值，帮助客户实现人效提升、营销转化、运营优化等AI落地成果。 任职资格: 1.大专以上学历，有主动销售及拜访客户的技巧和能力； 2.具备较好的沟通，表达，分析能力，学习能力和谈判技巧; 3.有强烈的事业心，责任心和积极的工作态度; 4.开拓能力强，能承受较大的工作压力，有上进心，勇于挑战高薪; 薪资待遇: 1.无责任5K底薪+高温补助+月度提成，五险一金，节假日福利，带薪年假。 2.弹性打卡，不坐班，差旅酒店+报销! 5.单休（休息周天），国家法定节假日正常休息
AI Agent工程师（电商）,创元数码,12-20K,苏州,本科,1-3年,100-499人,电子商务,零食下午茶|员工旅游|团建聚餐|节日福利|底薪加提成|年终奖|包吃|生日福利|五险一金|定期体检,岗位职责 1. 来自数仓开发（必备） - 湖仓建模与性能优来自化： 负责基于华为云（MRS/DWS）的湖仓一体架构设计，主导高性能大宽表与维度建模工作；通过分布键优化、索引调优等⼿段，解决⼤规模数据下的查询性能瓶颈。 - 业务洞察与指标治理： 深度对接业务需求，负责报表指标的梳理与规范化建设，通过沉淀通⽤数据资产支持业务需求的快速响应与高频迭代。 - 流批⼀体链路建设： 负责构建基于 Flink + Paimon 的流批一体处理链路，实现数据“一次采集、多端复用”；利用 Partial Update 等技术实现实时宽表的高效聚合，保障看板的秒级响应与口径绝对一致。 - AI 赋能探索： 探索 LLM（大语言模型）与 Agent 在数据领域的应用。 2. 看板交付（优秀者可放宽） - 全链路可视化交付： 负责基于 FineReport 平台的数据看板全生命周期交付，结合专业视觉设计规范，输出具备高交互性与美学标准的决策支持看板。 - 多端 BI 体系建设： 针对管理层决策与一线业务实操需求，设计并推广移动端 BI 解决方案，通过场景化建模提升数据在多终端的流转效率，赋能业务数字化运营。 3. 运维监控与资产沉淀： - 全链路质量闭环： 负责大数据平台及可视化看板的日常运维，通过自动化预警机制确保数据质量 - 工程标准化管理： 配合项目管理流程，完成技术架构文档与看板开发文档的编写与维护；保障核心数仓资产的可追溯性与知识传承。 硬性要求 - 学历背景：本科及以上学历，计算机科学、信息技术、数学或相关专业。 - 工作能力： 具备 3年以上 大数据开发经验，拥有成熟的云原生大数据平台（如华为云 MRS、DWS、GaussDB 等）实战背景，能够独立承担端到端的数据链路建设。。 - 优先录用项（可破格放宽年限）：1、 具备制造业（如生产监控、供应链）或财务领域数字化转型经验，2、 具备高性能大宽表设计及企业级指标库建设经验，能有效平衡数据冗余与查询性能，3、 拥有实际的 AI 应用开发经验，如 LLM（大语言模型）集成、Agent 智能体开发、Text-to-SQL 或预测性分析项目 素质要求 - 业务敏锐： 具备优秀的业务抽象思维，能快速理解业务逻辑并转化为高效的技术方案。 - 自驱与责任： 具备强烈的自驱力与好奇心，对数据质量有近乎严苛的标准，对产出结果负责。 技术技能 - 华为云大数据平台：熟练掌握华为云大数据平台的架构设计、部署和运维，具备丰富的集群管理经验。 - Fineroport平台：熟悉Fineroport平台的功能和使用方法，能够利用其进行数据采集、分析和可视化。 - 大数据技术栈：精通Hadoop、Spark、Hive、Flink等大数据技术，具备实际项目开发经验。 - 编程语言：熟练掌握Java、Python等编程语言，具备良好的编程能力和代码规范。 - 数据处理能力：具备扎实的数据结构和算法基础，能够高效处理大规模数据。
it管培生,苏州花无缺技术服务,7-10K,苏州,本科,经验不限,100-499人,电子商务,月/季度奖金|零食下午茶|定期体检|团建聚餐|交通补助|员工旅游|餐补|生日福利|节日福利|保底工资|季度晋升|带薪年假|住房补贴|通讯补贴|绩效奖金|补充医疗保险|全勤奖|年终奖|五险一金|底薪加提成,岗位定位：负责各类数智化项目的代码开发、功能实现、测试优来自化及后期维护，配合主管完成需求对接、技术落地等工作，确保开发成果贴合业务需求、符合技术规范，支撑公司数智化战略落地。 核心⼯作职责：  精通SpringCloud、SpringCloud Alibaba、SpringBoot微服务架构体系，能独⽴负责微服务项⽬的开发、调试与落地，主导核心业务模块的设计与实现。  精通Nacos、Gateway、OpenFeign等微服务核心组件，具备完善的服务注册发现、动态配置、路由转发、限流降级、服务熔断等微服务治理实战能⼒，保障微服务集群稳定运行。  精通MySQL关系型数据库，深入理解索引优化、事务隔离级别、MVCC原理，能独立编写复杂SQL语句，擅长慢查询分析与调优，解决数据库性能瓶颈。  具备分布式锁、分布式事务、接口性能优化等实战经验，能有效保障分布式系统的数据一致性与运行稳定性，应对高并发、高可用场景需求。  熟练使用Redis、MongoDB、Elasticsearch等非关系型数据库，能针对性设计缓存策略，有效解决缓存穿透、击穿、雪崩等典型问题，支撑海量数据的存储、查询与高并发访问。  具备数据库分库分表、读写分离、缓存策略设计等性能优化经验，能根据业务场景制定合理的性能优化方案，提升系统响应速度与承载能力。  熟练运用Kafka、RabbitMQ等消息中间件，能实现系统间异步解耦、削峰填谷，熟练掌握消息可靠投递、消息重试、死信队列、幂等性处理等机制，应对高并发场景下的消息流转与异常处理。  熟练使用IntelliJ IDEA、Maven、Git等开发与版本管理工具，严格遵循规范的代码管理、版本控制与团队协作流程，确保代码质量与协作效率。  熟练掌握Docker、Linux的基本使用，能够运用Jenkins/K8s完成项目的自动化部署、运维监控，降低部署成本，提升部署效率。  深入理解大模型技术体系，熟悉GPT、Gemini、Qwen、DS等主流大模型的特性及场景应用，具备多模型API集成开发经验，拥有Agent开发能力，能将大模型技术与业务场景结合，实现智能化功能落地。  了解Vue、HTML/CSS/JavaScript等前端技术，能高效配合前后端分离项目的接口联调与协同开发，确保前后端交互顺畅。  具备系统架构设计思维，擅长公共组件封装与复用，能提取通用业务逻辑，构建高可维护、高可扩展的基础框架，提升团队开发效率。  参与制定团队技术规范、编码标准与接口文档规范，并推动规范落地执行，开展技术分享与指导，提升团队整体研发质量与技术水平。 任职要求：  学历要求：本科及以上学历，计算机科学与技术、软件工程、信息工程、大数据等相关专业，3年及以上Java开发工作经验，有数智化、大数据相关项目经验者优先。  职业素养：工作认真负责、严谨细致，具备较强的责任心、执行力与问题解决能力，能主动承担工作任务，积极应对项目挑战。  协作能力：具备良好的沟通表达能力与跨部门协作能力，能高效对接产品、测试、前端等相关岗位，推动项目顺利落地。
ai开发工程师,苏州飞升网络科技,10-15K,苏州,本科,1-3年,0-20人,人工智能,五险一金|年终奖|底薪加提成|带薪年假,岗位职责: 1、结合物业/商企业务场景，挖掘AI应用机会；包括负责AI工具的选型、测试、推广和培训，以及参与Al中台(知识库、智能体、工作流)的搭建和维护 2、为业务/智能部门设计AI提效⽅案，如将重复性⼯作抽象为Al可处理的标准化流程、编写AI使⽤规范和最佳实践文档等 3、负责AI工具的⽇常运营和效果跟踪，收集业务部门反馈，持续优化AI应用效果 4、关注AI行业动态，引入新技术和新工具 任职资格: 1、学历要求：本科及以上学历，人工智能、计算机、数据等相关专业优先 2、能力要求：熟练使用至少2种以上AI工具(ChatGPT、DeepSeek、Claude等)，有Prompt工程经验，能优化AI输出质量；有自己部署/使用过本地/云服务器大模型的经验 3、有AI应用项目的实际经历（非课程作业）优先 4、加分项：有Coze/Dify/OpenClaw/Hermes等AI应用开发框架使用经验；了解向量数据库、RAG、智能体(Agent)概念；有搭建过知识库或智能客服的经验；有在公众号/B站/博客输出AI相关内容； 5、对AI有强烈好奇心，愿意主动钻研新技术
资深JAVA开发工程师（AI应用）,科沃斯机器人有限公司,18-35K,苏州,本科,5-10年,1000-9999人,其他行业,五险一金|餐补|年终奖|带薪年假|免费班车|定期体检|节日福利|交通补助,岗位职责： 1、boss参与AI来自模型的训练和优化工作，包括但不限于自然语言对话、图像生成、⾳视频⽣成等，集中于微调、RLHF等阶段，提升模型在业务场景中的效果与性能; 2、参与开发⾯向行业应用场景（例如传统⾏业或线下店铺的智能化转型）的生成式AI应用，候选技术方向包括：（1）攻克多模态生成的效果可控及落地难题，通过引入面向场景的高质量参考素材，实现高质量的视觉内容生成，降低不合理或低质的视觉内容的出现；（2）搭建支持产品决策的行业数字大脑，整合数据采集与分析、用户画像与产品画像的多维度刻画、可视化输出全流程，输出可落地的产品发展趋势报告与决策建议；（3）负责数字人对话系统的算法设计与优化，实现可主动引导对话流、对话内容准确，满足线下门店引流促销、提升服务体验等场景的交互需求。 3、参与其他相关的开发工作(例如爬虫，数据清洗，数据分析等);编写详细的开发文档及技术方案; 4、跟踪和研究生成式AI领域的最新技术进展，负责基于各类AI模型的创新研究与探索及相关产品研发工作（优秀成果可以申请相关技术专利或发表学术论文，公司技术负责人可提供相关人工智能顶会论文发表或前瞻技术研究的指导，支持学生在公司做技术研究并落地实际应用） 任职要求: 1、计算机科学、人工智能相关专业在读硕士或博士生; 2、精通 Python 语言，具备相关开发经验，具备大模型的研发经验，曾参与过相关项目; 3、深入理解 Transformer 架构，熟悉 LLaMA、Qwen、Mistral 等主流大模型，有 预训练、微调、RAG、Agent 的实战经验，熟悉PyTorch/TensorFlow，了解 LangChain。 4、良好的机器学习基础、英文阅读能力及团队协作能力，了解国内国外主流的生成式AI相关产品; 加分项： 1、曾发表过相关大模型或自然语言处理或计算机视觉论文优先 2、熟悉计算机视觉、语音识别等相关技术优先; 3、对SaaS平台，移动端APP开发或者前端开发有了解的优先; 4、能够快速的学习新的技术和行业知识。
ai全栈工程师,出门问问,20-35K,苏州,本科,1-3年,500-999人,智能硬件,五险一金|加班补助|股票期权|定期体检|带薪年假|年终奖|餐补,"负责 AI Agent 智能体的系统研发，探索大模型在复杂任务自动化和企业级 AI 应用中的落地。 主要工作包括： 1. 设计和开发 AI Agent 系统，实现复杂任务⾃动化执⾏ 2. 构建 LLM Tool Use / Function Calling 能⼒ 3. 研发 AI Workflow / 自动化流程系统 4. 设计多 Agent 协作架构，探索上下文⼯程实践 5. 设计实现长短期记忆架构，提升上下文响应精度 6. 参与 LLM 应用工程化落地与性能优化职位要求： 1. 计算机，人工智能相关专业，本科及以上学历，1年及以上agent 系统开发经验； 2. 熟悉 Python / Go / TypeScript 等至少一种语言； 3. 熟知 Transformer架构及主流LLM技术栈，熟悉LLM微调、推理优化及评估方法论； 4. 具备 LLM 应用开发经验，理解 Prompt Engineering、RAG、Tool Calling 等技术； 5. 熟悉至少一种 Agent 框架，如：OpenClaw, LangChain, Dify； 6. 具备多智能体系统开发经验，掌握ReAct、CoT等推理框架； 7. 具备良好的沟通协作能力，能够与团队成员有效配合； 8. 具有责任心，能够承担压力，有较强的执行力 加分项： 1.在顶会发表过LLM/Agent相关论文； 2.具有复杂多Agent系统的架构设计经验；"
高级全栈开发工程师,苏州汇诚智通科技...,9-10K,苏州,本科,3-5年,0-20人,环保,节日福利|餐补|交通补助|股票期权|带薪年假|年终奖|定期体检|员工旅游|五险一金,岗位职来自责 1.负责公司核心业务系统及AI应用的全栈架构设计与研发，主导从需求分析、技术选型到高质量交付的全过程。 2.基于Java技术体系（Spring Boot/Cloud等）构建高性能、⾼可⽤的后端微服务架构，并负责前端（React/Vue）的架构设计与核⼼功能开发。 3.将AI能力（如大模型、RAG、Agent）深度集成到企业级Java业务系统中，负责AI服务的⼯程化落地、API封装与性能优化。 4.主导复杂系统架构的演进与重构，解决高并发、分布式环境下的关键技术难题，保障系统的稳定性与可扩展性。 5.负责AI基础设施的搭建，包括向量数据库、模型服务网关、AI工作流编排等，为业务提供稳定高效的AI技术底座。 6.指导团队技术实践，通过代码审查、技术分享提升团队在Java工程化与AI应用开发方面的综合能力。 任职要求 技术能力 1.精通Java开发技术体系，深入理解JVM、多线程、网络编程，对 2 Boot、Spring Cloud、MyBatis等主流框架有源码级理解和丰富的实战经验。 3.具备扎实的全栈开发能力，熟练掌握TypeScript/JavaScript，精通 4或Vue等现代前端框架，能够独立完成复杂前端应用的架构与开发。 5.拥有AI应用开发的实战经验，熟悉大模型API调用、Prompt工程、6或Spring AI等Java AI框架，了解RAG、Agent等核心架构模式。 7.熟悉分布式系统架构，掌握MySQL、Redis、MongoDB等数据库的设计与优化，有Elasticsearch、ClickHouse等大数据组件经验者优先。 8.熟悉云原生技术栈，精通Docker、Kubernetes，具备在云环境下进行服务部署、监控与治理的实战经验。 软技能 具备出色的架构设计能力和技术判断力，能在复杂业务场景下权衡利弊，做出技术决策。 拥有强烈的责任心和Owner意识，能主动推动跨团队协作，解决项目中的关键问题。 对技术充满热情，具备快速学习能力，能够紧跟AI与Java生态的融合趋势并应用于实践。
大模型工程师（ AI Agent 党政 ）,某计算机软件公司,20-30K,苏州,硕士,3-5年,20-99人,计算机软件,五险一金|零食下午茶|定期体检|补充医疗保险|节日福利|股票期权|带薪年假|员工旅游|全勤奖|年终奖,岗位职责： 1. 基于大boss模型（如OpenAI/通义/DeepSeek等）开发企业内部AI应用（Agent、智能助手等） 2. 参与AI Agent设计与实现，包括任务拆解、工具调⽤、多轮对话等 3. 使⽤LangChain、LlamaIndex、Dify等框架进⾏AI应用开发与优化 4. 对接公司内部系统（OA/ERP/CRM等），实现业务流程自动化 5. 持续优化AI效果，包括Prompt设计、RAG⽅案、结果稳定性等 任职要求： 1. 3–5年开发经验（Python/Node优先），具备良好的工程基础 2. 有实际AI应用项目经验（如Agent、AI问答、自动化流程等） 3. 熟悉至少一种AI开发框架（LangChain / LlamaIndex / Dify等） 4. 理解大模型基本原理（Prompt、Token、Embedding、RAG等） 5. 具备良好的问题拆解能力和快速学习能力 加分项： 1. 有Agent开发经验（多步骤任务、工具调用） 2. 有RAG（知识库问答）项目经验 3. 有企业系统集成经验（飞书/钉钉/企业微信等） 4. 有开源项目或技术博客 我们希望你是： 1. 能在1–3天内做出一个AI Demo的人 2. 对新技术敏感，愿意快速试错 3. 不只是“调API”，而是能解决实际业务问题 岗位特点： 1. 参与从0到1的AI团队建设 2. 有机会主导多个AI应用落地 3. 技术成长快，空间大
Agent开发工程师,苏州天巡智控科技,20-25K·13薪,苏州,本科,3-5年,100-499人,计算机软件,底薪加提成|包吃|带薪年假|五险一金|意外险|团建聚餐|绩效奖金,我们是一家位于苏州工业园区核心地带的创新型孵化器/科技企业，依托园区优越的创新创业环境，致力于培育前boss沿科技项⽬。现诚邀⼀位懂技术、通AI、善规划、能落地的复合型技术专家加⼊，成为公司技术发展的核心驱动力。 岗位职责： 1. 孵化器应⽤软件全栈开发 负责孵化器小程序的规划、设计与开发（包括但不限于：企业入驻管理、工位/会议室预约、活动报名系统、数据可视化大屏等）。 快速响应业务需求，独立完成前后端代码编写、数据库设计及系统部署，确保系统稳定高效运行。 2. AI智能应用开发与趋势研究 创新落地：新型AI工具应用和趋势研究，追踪全球最新AI工具（如龙虾、豆包、Agent、RAG、多模态生成），评估其在孵化服务场景中的应用价值，开发智能AI接口 赋能企业：为入驻企业提供AI技术咨询，协助其利用新型AI工具降本增效，提升孵化器整体科技感。 3. 小微企业IT运维与安全 负责公司内部网络架构、云服务器（阿里云/腾讯云等）、办公设备及数据安全的日常维护与管理。 解决员工日常软硬件故障，建立基础的数据备份与安全防御机制，保障公司业务连续性。 岗位要求： 从业经验：计算机相关专业本科及以上学历，3年以上软件行业从业经验，善于利用AI coding、cursor、windsurf、claude code等来实现需求的 技术硬实力： 精通至少一门后端语言（Python/Java/Node），熟悉主流开发框架。 熟悉小程序开发，能独立完成全栈交付。 综合素质： 极强的动手能力和解决问题的能力，不排斥运维等基础性工作。 具备良好的沟通协调能力，能与入驻企业及内部团队高效协作。 对新技术保持敏锐好奇心，适应初创型/孵化器快节奏、多变量的工作环境。 薪资福利 薪酬：具体面议（能力决定待遇）； 保障：缴纳五险一金。
产品一号位（agent、灵巧手）,魔法原子,30-40K,苏州,硕士,10年以上,100-499人,人工智能,法定节假日三薪|免费班车|带薪年假|餐补|团建聚餐|生日福利|加班补助|节假日加班费|补充医疗保险|年终奖|定期体检|股票期权|五险一金,AI 产品经理（AI Agent / 虚拟角来自色方向） 岗boss位职责： 1. 来自从游戏化视角设计 AI + boss硬件产品，构建世界观、角色关系、剧情推进与长期养成体系； 2. 设计 AI 角色互动玩法，包括聊天、任务、剧情事件、羁绊成长、记忆演化与⽇常陪伴等机制； 3. 打造具备“活⼈感”的 AI Agent 角⾊，包括人设、性格、情绪反馈与长期关系体验； 4. 理解 AI 大模型 / AI Agent 基础能⼒，推动角色记忆、人设一致性、多角色互动等能力落地； 5. 参与 App 与智能硬件联动体验设计，探索 AI 角色与机器人/硬件结合的互动场景； 6. 协同算法、研发、美术、剧情、运营、硬件团队，推动产品完整落地； 7. 持续关注 AI Companion、乙女、虚拟人、二次元及游戏行业趋势，探索新型 AI 互动体验。 任职要求： 1. 3 年以上游戏、AI 陪伴、社交或内容类产品经验，有完整产品或核心模块负责经验； 2. 熟悉世界观、角色养成、剧情驱动、关系系统等游戏化设计； 3. 对虚拟角色、情感&陪伴与长期用户关系有深入理解，能设计有沉浸感与情绪价值的体验； 4. 对 AI 大模型、AI Agent 有基础认知，理解记忆、人设一致性、多轮交互等核心逻辑； 5. 具备良好的产品抽象、方案输出与跨团队推进能力； 6. 对 AI + 游戏 / AI + 硬件方向有兴趣，愿意探索下一代 AI 陪伴产品形态。 加分项 1. 有乙女、Galgame、RPG、虚拟人或 AI Companion 产品经验； 2. 有剧情策划、世界观或养成系统设计经验； 3. 对 AI 原生游戏或 AI Agent 驱动的动态世界有自己的理解。
Python（长期出差/非外包）,赛美特,15-20K,苏州,本科,5-10年,1000-9999人,计算机软件,餐补|五险一金|定期体检|零食下午茶|团建聚餐|节日福利|绩效奖金|补充医疗保险|加班补助|节假日加班费|免费工装|股票期权|年终奖|带薪年假|员工旅游,工作职责: 1.核心产品研发：负责相应垂直领来自域AI Agent产品的核心架构设计、开发落地与持续迭代。 2.数据深度处理：主导运用先进AI技术，解决通信领域复杂数据的智能解析、精准提取与深度结构化加⼯。 3.⼯作流与协同优化：深⼊业务场景，持续调优Agent工作流、RAG链路及多智能体（Multi-Agent）协同机制，突破复杂检索与分析任务的性能与准确率瓶颈。 4辅助开发：将AI工具深度融⼊研发工作流。熟练驾驭Claude Code、Cursor、GitHub Copilot等AI辅助编程工具，实现前端页面、后端逻辑、测试用例及Bug排查的高效自动/半自动化生成。 任职资格: 1.教育背景：本科及以上学历（计算机、人工智能或相关理工科专业优先）。 2年+工作经验，具备深刻的AI Native思维，精通LLM提示词工程（Prompt Engineering），熟练掌握LangChain/LlamaIndex/AutoGen/PydanticAI等至少一种主流AI应用开发框架。 3.具备完整的AI Agent落地经验。投递时请附带个人开发的AI Agent项目Demo（GitHub仓库、演示视频、在线体验链接或详细的项目说明文档均可）。 4.拥有扎实的Python编程功底与良好的代码规范，具备优秀的工程化落地能力。 5.加分项：具备通信/知识产权领域知识，或拥有海量复杂数据精加工实战经验者优先。 我们期待： 1即日常：不只是“了解”或“使用”AI，而是将AI视为外脑。遇到问题的第一反应是用AI寻找解法，日常用AI编码、设计、解决核心痛点，真正“活在AI里”。 2.用作品说话：比起精美的简历和PPT，我们更期待直接看到你跑通的项目、代码仓库和生动的Demo。 3.跨界破局者：保持极度的思维开放，不被传统的职能边界（前端/后端/数据）所局限。善于借助AI赋予的超级能力开阔视野，灵活调用各项技术栈解决最具挑战性的难题。
AI Agent 开发工程师,通祐,20-35K,苏州,硕士,3-5年,20-99人,物联网,带薪年假|意外险|包吃|节日福利|五险一金|免费工装|年终奖|定期体检|绩效奖金|生日福利|员工旅游|团建聚餐,岗位来自职责： 1. 业boss务需求拆解与建模 深boss挖场景：深入生产一线，调研排产、质检、设备维护、安全生产等环节的痛点，评估其 AI 化可⾏性。 流程重构 ：将复杂的业务逻辑抽象为智能体的执⾏逻辑，设计多步思考链（CoT）和任务分解⽅案。 2. 智能体（Agent）设计与开发 工作流编排 ：基于智能体开发平台，构建智能体工作流（Workflow），熟悉MCP、SKILL等。 Prompt 精调 ：针对制造领域的专业术语和严谨性要求，编写并迭代⾼性能的结构化提示词，确保输出结果的准确性与稳定性。 RAG 知识库管理 ：负责事业部业务文档（如工艺标准、设备手册、SOP）的清洗、分段与向量化，优化检索精度。 3. 系统集成与插件开发 能力打通 ：开发并维护连接智能体与本地系统（MES、ERP等）的插件（Plugins/Tools），实现智能体对生产数据的实时调用。 闭环执行 ：实现“感知-决策-执行”的闭环，让智能体不仅能“回答问题”，更能通过接口发送指令（如自动触发维修工单、生成生产日报）。 4. 运营优化与效果评估 幻觉治理 ：监控智能体运行状态，针对工业场景中的“幻觉”问题进行逻辑修补和拦截设计。 持续迭代 ：根据用户反馈对智能体进行版本升级，通过 Few-shot（少样本学习）提升其处理复杂业务的专业度。 必备条件： - 学历与专业：本科及以上学历，计算机、自动化、智能制造、工业工程等相关专业，具备扎实的技术理论基础。 - 业务与建模能力：具备制造行业（排产、质检、设备维护、安全生产等任一环节）业务认知，能独立完成业务需求拆解、痛点挖掘，可将复杂业务逻辑抽象为智能体执行逻辑，设计思考链与任务分解方案。 - 智能体开发能力：熟悉智能体（Agent）开发流程，掌握工作流编排方法，了解MCP、SKILL等相关技术；具备Prompt编写与精调经验，能针对专业场景设计结构化提示词，保障输出准确性。 - 技术实操能力：掌握RAG知识库核心操作，能完成文档清洗、分段、向量化处理，优化检索精度；具备插件（Plugins/Tools）开发基础，能协助实现智能体与本地系统（MES、ERP等）的连接。 - 问题解决与迭代能力：具备较强的逻辑思维，能监控智能体运行状态，识别并处理工业场景下的“幻觉”问题；能根据用户反馈和业务需求，完成智能体版本迭代与优化。 - 沟通与协作能力：能深入生产一线开展调研，准确对接业务端需求，同时能与技术团队、业务团队高效协作，推动项目落地。 优选条件： - 行业经验：有1-3年制造领域AI智能体、工业AI相关工作经验，熟悉制造企业MES、ERP等系统的操作与接口逻辑者优先。 - 技术深化能力：精通智能体开发平台（如LangChain、AutoGPT等），熟练运用MCP、SKILL进行工作流编排；具备丰富的Prompt工程经验，能通过Few-shot学习优化智能体性能者优先。 - 知识库与插件能力：有大规模工业业务文档（工艺标准、设备手册、SOP）梳理、向量化经验，能优化RAG检索策略；具备独立开发插件（Plugins/Tools）能力，实现智能体“感知-决策-执行”闭环者优先。 - 技术储备：掌握Python、Java等编程语言，熟悉向量数据库（如Milvus、Pinecone）、大语言模型（LLM）相关技术，有幻觉治理、少样本学习实际落地案例者优先。 - 其他优势：具备制造业数字化转型、智能工厂相关项目经验；持有相关技术证书，或具备较强的自主学习能力、创新能力，能快速适配业务迭代需求者优先。
AI全栈工程师,苏州沸腾繁星数字科技,7-12K,苏州,本科,经验不限,20-99人,人工智能,保底工资|定期体检|底薪加提成|年终奖|五险一金|意外险|补充医疗保险|股票期权,职位boss详情 1、协助客户解来自决大模型应用过来自程中的使用问题，确保客户业务顺利运行，包括但不限于 Prompt ⼯程、 RAG 、接口调⽤、模型精调等； 2、与客户保持⾼效沟通，理解客户需求并提供清晰的技术指导，提升客户满意度； 3、协调后方团队资源，确保客户问题得到及时响应和解决； 4、编写基础技术文档，整理常见问题及解决⽅案，提升问题自助解决效率。 职位要求 1、计算机科学、软件工程或相关专业本科及以上学历； 2、2~3年AI领域相关后端开发经验，有LLM应用开发落地经验技术能力； 2、熟悉 Python 、 Java 、 Golang 等至少一种编程语言，具备基础的代码编写能力和代码调试经验； 3、了解大模型的基本原理和常见应用场景，例如 Transformer 、 Langchain 、 Huggingface 、 DeepSeek 等； 4、了解 Prompt 工程、 RAG 技术、模型精调等大模型应用技术，
