岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
ai人工智能算法工程师（接受零基础）,赤峰凯御人力资源服务有限责任公司,1.2-2万,北京·朝阳,经验不限,大专,20-99人,人力资源,,,职位描述 岗位内容：1. 设计和实现高效的算法，解决现有系统存在的问题。2. 利用数学、统计学和机器学习等相关领域的知识，分析海量数据并进行建模。3. 优化算法实现，并保证代码的可扩展性和可维护性。4. 开发和维护算法服务，并与其他团队密切合作。
AI数据工程师（爬虫/ETL）,英特利普(上海)信息技术有限公司,1.9-2.1万·13薪,北京·昌平·史各庄,3-5年,本科,外商独资,1000-9999人,人力资源,,职位描述 岗位职责1.负责生物医药领域数据的 ETL 全流程开发与维护，包括数据抽取（对接内外部数据源）、清洗、转换、加载，保障数据质量与传输效率；2.设计并实现定向爬虫方案，采集生物医药相关公开数据（如文献、临床试验信息、靶点数据等），解决反爬、数据异构等问题；3.参与 LLM（大语言模型）+RAG（检索增强生成）相关的数据工程工作，包括知识库构建、向量数据库设计与优化、数据分片 / 索引策略制定，支撑生物医药场景的大模型应用落地；4.维护数据管道的稳定性与可扩展性，监控数据流转状态，及时排查并解决数据处理过程中的异常问题；5.与算法、研发、业务团队协作，理解 AI 应用需求，输出符合大模型训练 / 推理要求的结构化、高质量数据。 任职要求 1.本科及以上学历，计算机、软件工程、数据科学、生物信息学等相关专业； 2.2 年及以上数据工程相关工作经验，熟练掌握 ETL 流程设计与开发，精通至少一种 ETL 工具（如 Airflow、DataWorks、Talend 等）； 3.具备爬虫开发实战经验，熟练使用 Python（Scrapy、Requests、BeautifulSoup 等）编写爬虫，了解反爬机制及应对策略； 4.了解 LLM 与 RAG 技术原理，有 RAG 相关数据工程经验（如向量数据库使用、知识库构建、数据预处理适配大模型）优先； 5.熟悉至少一种数据库（MySQL/PostgreSQL 等关系型数据库，Elasticsearch/Milvus/Pinecone 等向量数据库），具备数据建模能力；
ai训练师/数据标注,京北方,8000-14000元,北京·朝阳,1-3年,本科,民营,10000人以上,软件/IT服务,最佳雇主,职位描述 岗位内容：1. 根据项目需求，负责数据标注、分类、标签制作等工作；2. 维护数据标注质量并改进标注流程；3. 及时响应客户需求，满足客户标注要求。任职要求： 1. 具备基本电脑操作技能以及网络资源的查找和使用能力；2. 具备良好的文字表达能力和沟通协调能力；3. 对细节敏感，具备较强的责任心和工作意识；4. 具备耐心细致的工作态度和团队合作精神。
AI数据分析专家,拓维信息系统股份有限公司,3-4.5万·16薪,北京·大兴·荣华街道,3-5年,本科,上市公司,1000-9999人,产业互联网平台,已上市,职位描述 岗位指责：1、支撑完整销售流程，进行方案汇报、售前技术支持、招投标技术文件编写等工作；；2、负责跟进客户需求，进行业务策划、问题分析、解决方案设计、大数据、AI及数据要素场景方案规划、数据运营模型设计及优化；3、负责客户需求挖掘和项目运作，市场活动技术方案宣讲；4、协助交付团队进行产品设计研发、项目实施等工作；5、收集、分析行业动态、竞争对手信息及客户需求的反馈，保持对产品的持续跟踪和前瞻性研究。 任职要求： 1、本科及以上学历，5年以上售前工作经验，3年以上行业大数据应用售前咨询顾问经历； 2、完成项目解决方案设计及汇报宣讲等工作，有成功落单的大数据规划方案经验者优先； 3、对重点行业大数据及AI应用有敏锐的洞察力，能够站在企业数智化转型的角度进行大数据类方案规划，能够用数据驱动思维进行AI重构业务系统规划。有AI业务创新工作经验优先； 4、有企业级大数据平台、数据治理、数据价值分析挖掘、数据要素、AI应用场景类项目规划经验，运营商行业经验优先； 5、具备较强逻辑思维能力和客户沟通能力，较强的文案功底和语言表达能力； 6、具有良好的职业素养，工作态度认真踏实，工作细致严谨，较强的执行力和责任感。
AI直播 每天3小时 月收入1万至15万,安徽晓聚文化传媒有限公司,1-2万,北京·通州·北苑,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 工作职责1. 负责抖音平台日常直播，通过聊天互动、趣味小游戏等轻松内容与观众建立情感连接，提升直播间活跃度与留存率。2. 参与公司免费线上培训课程，系统学习直播技巧、平台规则及内容优化方法，持续迭代直播表现。3. 配合运营团队的实时指导，根据数据反馈调整直播内容与风格，逐步提升直播效果与粉丝粘性。4. 严格遵守平台规范，确保直播内容积极健康，维护正向的直播间氛围。任职要求1. 形象气质良好，具备基础镜头表现力（公司提供专业美颜技术支持）。2. 性格开朗外向，乐于与人交流，愿意在镜头前展现个人特质。3. 能够接受系统化免费培训，积极配合运营团队的指导与建议。4. 时间安排灵活，可自主规划直播时段，保证稳定的直播频率。补充说明1. 工作地点：不限地区，支持居家直播+线上培训2. 薪酬福利：礼物提成45%（每日可自提）；提供24小时在线运营支持及免费培训3. 休息时间：自由安排，无强制排班要求
全栈AI应用开发工程师-智联(J15600),先进数通,2-2.5万,北京·海淀·紫竹院,3-5年,本科,股份制企业,1000-9999人,软件/IT服务,已上市,职位描述 岗位职责: 1、独立完成基于大模型的 AI 应用全流程开发，包括需求分析、架构设计、编码实现、测试及部署上线。 负责后端服务开发：设计 RESTful API，完成数据库建模、用户认证授权、流式数据代理等。 2、负责前端应用开发：使用现代前端框架（Vue 3）开发页面组件、全局状态管理、路由控制、主题切换及数据可视化。 3、负责容器化部署与运维：编写 Docker 配置，实现多服务协同部署（如后端+前端）。 4、善用 AI 辅助工具（如 Copilot、Claude Code、Cursor 等）提升前端界面设计与代码开发效率。 任职要求: 1、学历与专业：全国正规统招本科及以上学历（第一学历），信息技术相关专业。 2、3 年以上全栈开发经验，有独立完成完整项目端到端交付的成功案例。 3、后端：熟练使用 Python ，熟悉主流后端框架（如 FastAPI / Flask），具备 ORM 建模能力，了解关系型数据库（SQLite / PostgreSQL）设计。 4、前端：熟练使用 JavaScript / TypeScript (ES6+) 及 Vue 3 生态（Composition API），掌握主流状态管理方案、构建工具、HTTP 客户端、路由管理，以及 UI 组件库的使用。 5、认证与授权：熟悉基于 Token 的认证机制（如 JWT）及 OAuth2 流程，有完整权限控制实现经验。 容器化：熟练使用 Docker 及容器编排工具（如 docker-compose）进行多服务部署。 6、数据可视化：具备图表库（如 ECharts）使用经验，能独立完成统计图表开发。 7、流式传输：理解 SSE（Server-Sent Events）或类似技术，能处理流式数据代理。 8、前端安全：了解常见 Web 安全防护（如 XSS 防护、HTML 转义）。 9、独立工作能力：无产品经理/设计师时，能独立完成从需求到上线的全流程。 10、全链路视野与自驱力：具备端到端技术视角，能主动发现问题并推动解决，在技术选型中做出合理判断。
AI 系统研发工程师（Agent 端侧芯片化方向）,北京市科学技术研究院,1-2万,北京·海淀·花园路,1-3年,本科,事业单位,1000-9999人,学术/科研,,职位描述 北京自动测试技术研究所有限公司，隶属于北京市科学技术研究院，专门从事集成电路测试技术研究、测试系统开发及集成电路测试销售、服务，是国家集成电路测试技术科技攻关项目的牵头单位。一、岗位职责1.负责 AI 智能体 Agent、轻量化大模型应用研发与工程化落地，聚焦端侧离线场景，不依赖云端服务。2.跟进大模型及 Agent 相关技术预研，完成方案验证、原型开发与业务功能迭代。3.负责模型轻量化改造，开展量化、压缩、算子优化、推理调优，适配低功耗芯片、嵌入式硬件平台。4.完成 Agent 链路与模型推理的边缘端 / 芯片端移植、适配、固化部署，配合硬件团队实现软硬协同联调。5.优化端侧推理性能、内存占用与功耗，保障离线环境下 Agent 稳定、低延迟运行。6.规范研发流程，输出技术设计、适配文档，沉淀端侧 AI 落地标准化方案。二、岗位要求1.本科及以上学历，计算机、软件工程、电子信息、人工智能等相关专业，2 年以上软件开发经验。2.熟练使用 Python/C/C++ 任意一种语言，熟悉 Linux 开发环境，具备扎实的代码实现与问题排查能力。3.了解大模型基础原理，熟悉 AI Agent 架构、工具调用、任务编排等核心能力，有相关项目落地经验。4.掌握模型轻量化技术，熟悉量化、剪枝、蒸馏、模型转换流程，具备边缘端 / 端侧 AI 部署实操经验。5.熟悉主流推理框架，如 ONNX、NCNN、TFLite、TensorRT 等，有硬件 / 端侧设备适配调试经验优先。5.逻辑思维清晰，学习能力强，可跨部门协同，能适配芯片适配、嵌入式联调类研发工作。三、加分项1.有 SoC、NPU、MCU、FPGA 等芯片平台 AI 模型移植、固化、量产部署经验；2.有离线轻量化 Agent、端侧大模型本地运行项目经验；3.熟悉硬件加速、底层算子适配、嵌入式固件集成开发；4.了解 RAG、多模态、智能体工作流定制开发。
AI Agent架构师,大连希正科技有限公司,1.8-2.5万,北京·海淀·上地,5-10年,本科,民营,20-99人,软件/IT服务,,"职位描述 【岗位职责】1、架构与开发:负责AI Agent系统的整体架构设计、核心模块开发与迭代，包括但不限于智能规划、工具调用、记忆管理、多智能体协作等。2、工程化落地:将Agent原型转化为稳定、高性能、易监控的生产级服务。解决长上下文处理、流式响应、错误处理、降级策略等工程挑战。3、工具生态整合:为Agent设计和集成强大的工具集(如APl、数据库、搜索、代码执行器等)，提升其与现实世界交互和解决问题的能力。4、性能优化与评估:建立Agent的评估体系(Benchmark)，持续迭代提示工程(Prompt Engineering)、微调策略，优化其推理效率、准确性和成本。5、技术前瞻与创新:紧跟LangChain、AutoGen、CrewAl、Semantic Kerne等框架及学术前沿，探索并应用新技术(如强化学习、Advanced RAG)以提升Agent能力。6、跨团队协作:与产品经理、算法研究员、前后端工程师紧密合作，明确技术边界，推动AI功能的高质量交付。[任职要求]1、技术基础:计算机科学或相关专业本科以上学历，3年左右软件开发经验。2、精通任意一门主流编程语言，具备扎实的编程能力和良好的代码风格。3、熟悉至少一种主流云服务(AWS/Azure/GCP)和容器化技术(Docker,Kuberetes)4、有构建复杂分布式系统、微服务的经验，熟悉APl设计、数据库优化。5、有AI产品(如智能助手、Copilot、自动化工作流)从0到1的上线经验。6、熟悉RAG、模型微调(Fine-tuning)、智能体对齐(Agent Alignment)等相关技术。7、具备良好的技术领导力，能够主导技术方案，并指导初级工程师。8、在开源社区有相关项目贡献或技术博客输出。[Al/Agent专长]1、深入理解LLM:对Transformer架构、主流大模型(GPT、Claude、开源模型等)的原理、API及特性有深刻理解。2、丰富的Agent开发经验:有使用LangChain、Llamalndex、AutoGen等框架构建复杂Agent项目的实际经验，理解其核心抽象(Chain,Agent, Tool,Memory等)3、工程化思维:深刻理解PromptEngineering不仅是“技巧""，更是需要版本控制、测试和持续迭代的工程问题。有构建Agent评估框架的经验者优先。4、问题解决能力:能够独立解决Agent幻觉、推理逻辑错误、复杂任务分解等核心挑战。"
ai数据标注,中软国际,面议,北京·昌平,经验不限,本科,上市公司,10000人以上,软件/IT服务,已上市,职位描述 1. 严格按照团队制定的标注规范、标准及操作流程，对AI大模型训练所需数据（包括但不限于文本、语音、图像相关辅助数据等）进行精准标注、分类、校对及评分，确保标注数据的准确性、完整性和一致性。2. 负责标注过程中异常数据、模糊数据的记录与反馈，及时与团队负责人、标注审核人员沟通，协助优化标注规范和操作流程，提升标注效率和数据质量。3. 按时完成团队分配的标注任务，严格把控任务进度，确保在规定时间内交付符合要求的标注成果，配合团队完成数据验收工作。4. 自觉遵守团队数据安全管理规定，严格保密标注过程中接触到的所有训练数据、标注规范及团队相关机密信息，杜绝数据泄露。5. 积极参与团队组织的标注规范培训、技能提升培训，主动学习AI大模型相关基础常识，持续提升自身标注速度和质量。6. 配合团队完成标注数据的复盘工作，根据审核意见及时修正标注错误，总结标注经验，助力模型训练效果优化。 1. 本科及以上学历，专业不限，有数据标注相关工作经验者优先具备良好的文字理 解能力、逻辑判断能力和细节把控能力，能快速理解标注规范，准确执行标注操作。 2. 工作认真负责、耐心细致，有较强的责任心和执行力，能承受一定的工作压力， 按时完成任务。 3. 熟悉电脑基本操作，能熟练使用办公软件（如Excel、Word）。 4. 具备良好的沟通能力，能清晰反馈工作中遇到的问题，配合团队完成协作任务。 5. 有AI大模型、NLP（自然语言处理）相关数据标注经验，熟悉文本分类、情感标注 、问答标注、评分标注等相关操作者优先。
AI数据运营专家,中电金信软件有限公司,1.2-1.5万,北京·海淀·海淀街道,经验不限,本科,国企,10000人以上,软件/IT服务,优选雇主,职位描述 工作职责1. 深入理解AI大模型技术特性，主导Agent、多模态等方向的高质量数据生产，支撑模型训练与迭代。2. 运用代码能力与Prompt Engineering技术，完成数据挖掘、预处理、分析及全链路自动化搭建。3. 协同产品研发团队，参与业务场景定义、数据标准制定、标注策略优化及数据生产流程自动化落地。4. 针对大模型性能瓶颈，联动产品、算法、标注及评估团队开展专项攻坚，推动问题闭环。任职要求1. 本科及以上学历，计算机、人工智能、数据科学、金融经管等相关专业，复合型学科背景优先。2. 熟悉LLM/多模态数据标注流程，掌握数据质量管控方法。3. 精通Prompt Engineering，能针对不同任务场景优化提示词；理解Agent实现原理，熟悉workflow搭建，有Coze平台工作流/agent搭建经验者优先。4. 熟练使用Python、SQL等编程语言，了解机器学习基础概念与模型调优逻辑；具备应用开发或DevOps经验者加分。5. 对AI技术有高度热情，具备较强的自驱力、快速学习能力及跨团队沟通协作能力。
AI数据工程师,某大型国企公司,2-4万,北京·东城·东四,3-5年,硕士,其它,500-999人,产业互联网平台,,职位描述 工作职责 1、负责大模型训练数据的构建，能够有效组织高质量数据生产、整理和清洗工作，对数据正确性、模型生成内容正确性提供判断，对模型进行内容改进策略建议； 2、负责对大模型应用案例和数据进行分析，归纳关键性和普遍性问题，提高内容优质率； 3、推动大模型应用方向数据标注工作，指导标注人员完成数据的高质量构建，保证按目标及质量要求完成结果产出； 4、负责根据不同应用场景，进行prompt调优，驱动模型达到最优效果。 任职资格 1.计算机、数理类等相关专业； 2.具备Python/Java/JS/C++其中至少一门语言，三年以上开发经验； 3.编程基本功扎实，注重代码质量，有良好的软件工程知识和编码规范意识； 4.对大模型数据要求、大模型训练过程了解，有NLP自然语言处理经验者优先； 5.具备数据敏感度和分析能力，能够从产品、用户视角进行统计分析、任务目标分解和方案设计； 6.具备良好的项目管理技能，能够针对不同的项目需求，进行细致的项目计划、沟通和执行，并具备解决问题和决策的能力。
Python开发工程师（AI项目）,软通动力信息技术(集团)股份有限公司,1.2-1.4万,北京·昌平,3-5年,本科,上市公司,10000人以上,软件/IT服务,最佳雇主,职位描述 岗位职责： 基于Python技术栈，负责AI平台及相关产品后端核心模块编码、调试与落地。 参与需求分析、技术方案设计，配合团队完成业务需求落地与项目交付。 负责代码优化、系统维护，排查解决技术难题，保障系统稳定高效。 使用Python Web框架进行接口开发、联调，编写相关技术文档。 跟踪前沿技术，配合团队完成代码评审、测试部署等工作。 任职要求核心要求： 统招本科及以上学历，计算机相关专业，学历可查。 3年及以上Python开发经验，有完整项目交付经验，AI相关开发经验优先。 熟练掌握Python及高级特性，具备扎实的编程、数据结构与算法基础。 技能要求 熟练使用至少一种Python Web框架（Django/Flask/FastAPI等），掌握Git等开发工具。 熟悉至少一种数据库，具备数据库设计与查询优化能力，了解Redis等中间件优先。 熟悉Linux环境下的开发、部署与调试，了解Docker优先。 了解AI、大模型基础概念，能快速适配研究院AI业务场景。 软实力要求 具备良好的沟通协调、问题解决能力，能高效配合团队工作。 责任心强、积极主动，具备良好的团队协作能力，能承受一定工作压力。 学习能力强，能快速掌握新技术，服从工作安排与研究院规章制度。 岗位福利（外包配套） 缴纳五险一金，享受法定节假日、带薪年假。 入驻研究院办公，接触AI前沿技术，助力个人职业提升。 提供节日福利、年度体检、培训支持等保障
AI数据运营专员/经理(A40393),北京麦麦趣耕科技有限公司,8000-15000元,北京·通州·台湖,经验不限,,其它,100-299人,产业互联网平台,,职位描述 职位描述： 农业AI数据运营经理 工作内容 1、统筹农业AI多作物场景数据采集（传感器、摄像头、无人机、田间图文等）、标注、质检全流程，结合作物生长实际场景，制定标准并落地。 2、管理数据采集专员、外协团队，明确工作要求，监督进度与质量，保障任务高效完成。 3、对接产品、算法团队，反馈数据问题，优化数据方案，支撑大模型及知识库落地。 4、建立数据台账，做好数据归档与管理，定期复盘优化运营策略。 职位要求： 任职要求 1、具备AI数据运营、采集/标注相关经验，有团队统筹经验优先。 2、懂农业基础常识，能独立完成田间数据采集，熟练使用标注工具（AI优先），严控数据精准度。 3、具备团队统筹、流程搭建能力，熟练使用办公软件，能接受出差外勤。 4、本科及以上学历，农学、大数据、人工智能等相关专业优先，责任心强、执行力强。
AI数据运营专家,嘉驰英才(上海)信息科技有限公司合肥分公司,1.2-1.9万·13薪,北京·海淀·海淀街道,经验不限,本科,民营,10000人以上,人力资源,,职位描述 职位描述：1、深入理解AI大模型，产出在Agent/多模态等方向的高质量数据；2、能通过代码和Prompt Engineering，完成数据挖掘、预处理、数据分析、链路搭建等任务；3、与产品研发团队进行沟通协作，参与业务场景定义、数据标准制定、标注策略迭代、数据生产自动化等；4、针对大模型的突出问题，与产品、算法、标注、评估等团队合作进行专项攻坚。 任职要求： 1、本科及以上学历，计算机、人工智能、软件工程、数据科学、金融经管等相关专业学科，有复合型学科背景优先；（不包含成人自考、专升本） 2、了解LLM/多模态数据标注的流程和方法； 3、精通提示词工程（Prompt Engineering），能优化Prompt解决不同类型的任务需求，理解Agent实现原理，熟悉workflow搭建，有Coze搭建工作流/agent经验； 4、熟练使用Python、SQL、Java等编程语言，了解机器学习/人工智能/模型调优，熟悉各种算法的基本概念，有应用开发/（运维）Dev-Ops经验加分； 5、对AI有高度热情，有较强的自驱、学习、沟通和抗压能力。
大模型数据交付专家（图片生成）-AI数据与安全,字节跳动,2-4万,北京,1-3年,本科,民营,10000人以上,产业互联网平台,最佳雇主,职位描述 岗位职责：1、负责图片生成模型数据生产项目（包括但不限于标注、构造、采集等）的交付工作，制定可执行的项目交付计划和质量控制体系并落实，确保数据高质量交付；2、深入理解业务场景、市场动态和多模态大模型技术趋势，牵引数据团队和算法、产品团队的深度融合，共同制定数据策略、生产规范与交付标准；3、能够根据业务需求合理使用数据生产方法，包括模型、代码自动化或人工方式，能够挖掘、组织、管理众包、外包人员，充分发挥团队成员的专业优势，提升团队整体工作效率。任职要求：1、本科及以上学历，机器学习、计算机视觉、设计、影视等相关专业优先；2、1年以上大模型领域相关工作经验，熟悉数据生产全流程；有良好的逻辑、画面想象力和文字鉴赏力，在物理常识/现代科技/人文历史/艺术创作中至少有一方面有深入思考实践；3、对AI有热情，熟练使用市面上的大模型（包括LLM和多模态），在Prompt Engineering、Context Engineering、Agent等技术的使用上有落地成果和心得；4、具备多线程处理问题的能力，能够熟练运用项目管理工具和方法；有良好的数据分析能力，能够从数据中洞察并提取有价值的业务信息；有代码能力者优先；5、有较强的自驱力、和学习能力，具备优秀的沟通协调能力及团队合作精神。
AI全栈工程师（数智化转型）,港中旅酒店有限公司,1.5-2.5万,北京·西城·牛街,3-5年,本科,国企,500-999人,餐饮服务,,职位描述 岗位名称： AI全栈工程师（数智化转型）所属部门： 科技信息部直接上级： 科技信息总经理岗位核心目标：AI 能力与业务系统融合落地，贯通前端、后端、AI 模型开发与部署，支撑智能客服、智能推荐、RAG 问答等场景。主要职责与工作任务：一、AI应用全栈开发1、负责 AI 原生应用开发，集成大模型能力（如 RAG、Agent），实现智能客服、智能问答、内容生成等功能（如自动生成 PPT、行业文案）。2、搭建端到端 AI 应用架构，涵盖前端交互界面、后端服务接口、AI 模型调用 / 微调全流程，弥合算法与产品落地鸿沟。3、开发 AI 工具链（如智能工单、智能运营助手），支撑酒店数智化转型场景落地。二、模型工程化与部署1、将算法团队模型进行工程化封装，部署为可扩展、高可用的微服务，支持模型版本管理、灰度发布。2、负责 AI 服务部署（Docker/K8s）、监控与运维，保障推理速度、稳定性与资源利用率。3、 优化 AI 应用性能（推理延迟、吞吐量）与成本（控制 token 消耗、选择高性价比模型），适配业务高频场景。三、技术攻坚与能力沉淀1、调研前沿 AI 技术（多模态、AIGC、Agent），结合酒店业务场景提出落地方案，推动技术创新。2、 负责 AI 与现有系统（中台、双端 APP）的融合开发，解决跨系统数据交互、模型调用异常等问题。3、沉淀 AI 开发规范、技术文档，支撑团队 AI 能力建设。任职要求（建议）：1、本科及以上学历，计算机、人工智能相关专业优先。2、3 年以上全栈开发 + AI 应用落地经验，熟悉 Vue、SpringBoot/FastAPI 等技术栈，掌握 LangChain、向量数据库（Chroma）等 AI 工具。3、了解大模型原理、RAG/Agent 开发流程，有 AI 服务部署、监控经验优先。4、 具备跨领域技术整合能力、创新思维，能快速解决 AI 落地过程中的技术难题。
AI 智能体技术员（基因检测方向）,北京嘉宝仁和医疗科技股份有限公司,1-1.8万,北京·大兴·天宫院,3-5年,本科,股份制企业,100-299人,IVD（体外诊断）,B轮,职位描述 我们在做什么嘉宝仁和聚焦基因检测与辅助生殖业务，正在构建可落地的 AI 智能体系统，覆盖报告智能解读、知识问答、流程自动化等场景。如果你对 AI 技术充满热情、希望在真实医疗场景中做出有价值的产品，欢迎加入。▌ 岗位职责● 在技术负责人指导下，参与基因检测相关智能体应用模块的开发、调试与功能迭代。● 负责具体功能模块的编码实现，包括 Prompt 工程、API 对接、工具链集成等任务。● 参与智能体系统的测试与质量验证，排查并修复功能缺陷，保障模块稳定运行。● 配合产品和业务团队完成需求理解与功能拆解，将业务需求转化为可执行的技术方案。● 跟踪主流大模型（LLM）及智能体框架的最新进展，在团队内分享前沿技术动态。● 维护开发文档与接口说明，保持代码规范，配合 Code Review 流程持续提升代码质量。▌ 任职要求【学历】 计算机、软件工程、人工智能或相关专业本科及以上；应届生或1–3年工作经验均可。【编程能力】 熟悉 Python，能独立编写脚本和调用 API；了解 Java 或 Go 者加分。【AI 基础】 了解大语言模型（LLM）基本原理，有过 ChatGPT / 文心一言 / 通义千问等模型调用实践经验。【工程素养】 理解接口开发基本概念（RESTful API），有版本管理（Git）使用经验。【学习能力】 对新技术有强烈好奇心，能快速上手新工具和框架；有个人项目或开源参与经历者优先。【团队协作】 沟通顺畅，能准确理解需求，主动反馈进度，与团队协作愉快。▌ 加分项（有以下经历可优先考虑）l 有使用 LangChain、LangGraph、AutoGen、CrewAI 等智能体框架的实践经验。l 熟悉扣子（Coze）、文心一言智能体平台、阿里云百炼等低代码智能体工具链。l 有 RAG（检索增强生成）、向量数据库（Milvus / ChromaDB）相关实战经验。l 有医疗、生物信息或健康科技相关项目经历，理解医疗数据特点。l 有个人技术博客、GitHub 开源项目或竞赛获奖经历（附链接更佳）。▌ 成长路径与发展空间l 入职后由技术负责人一对一指导，快速融入项目，明确技术成长方向。l 公司处于 AI 智能体落地早期阶段，技术员有机会深度参与核心系统建设，成长空间大。l 表现优秀者可晋升为高级技术员或智能体技术负责人。
生成式AI系统测试工程师,北京通和实益电信科学技术研究所有限公司,6000-10000元,北京·海淀·花园路,经验不限,本科,国企,100-299人,通信/网络设备,,职位描述 职位描述：1、负责算法测评体系构建，针对生成式人工智能的核心能力，设计并落地系统性的评测方案与指标体系；2、主导专项测试设计与执行，针对不同业务场景，设计并执行专项测试，包括但不限于功能测试、内容安全测试、鲁棒性测试及性能测试；3、建设数据集，根据算法特点和风险领域，构建和维护高质量的评测数据集；4、进行质量分析与问题定位，对测试结果进行深入分析，准确定位算法问题，并与研发团队高效协作，推动问题解决与模型迭代；5、跟踪前沿技术与行业标准，持续关注生成式人工智能行业的前沿进展、评估方法及国内外相关标准，并应用于实际测试工作中。任职要求：1、学历：本科及以上学历，人工智能、计算机科学与技术、软件工程、电子信息工程等相关专业。2、技术要求（1）熟悉软件测试基本理论和方法；（2）具备扎实的编程能力，熟练掌握Python，能独立编写自动化测试脚本；（3）熟悉Linux环境，具备基本的数据库操作能力。3、人工智能方向要求（1）深入理解生成式人工智能的基本原理、训练流程及常见架构；（2）评估经验，熟悉主流的生成式人工智能评估数据集和评估方法，并有实际应用经验；（3）风险意识，对生成式人工智能的潜在风险有深刻理解，并有相关测试经验。4、具备较强的逻辑思维能力、问题分析与定位能力，工作认真负责、严谨细致，有良好的沟通协调能力与团队合作精神。
高级软件研发工程师（信息化方向、AI方向）,北京中建建筑科学研究院有限公司,2-3.5万,北京·丰台·南苑,5-10年,本科,国企,300-499人,工程专业服务,,职位描述 一、岗位职责1.方向一：信息化方向信息化系统建设： 负责公司数字化系统的建设、部署与维护、高质量交付具备高可用性、稳定性和安全性的现代信息化系统。工程研发效率提升：负责公司研发基础设施建设与优化，深度融合AI编程与持续集成CI/CD，推进自动化研发体系建设，提升研发与交付效率。架构优化与AIOps： 负责云原生架构（如 Docker、K8s）的维护与演进；探索将 AI 技术引入运维场景（AIOps），提升故障预警与自动化处理能力。2.方向二：AI系统架构与科研方向核心AI产品研发： 参与 MaaS 平台、智能体（Agent）、ChatBI 等核心产品的代码研发；结合大模型技术构建企业级知识库及 AI 应用平台。大模型应用落地： 深入探索检索增强（RAG）、推理增强（RIG）等技术，并推动模型在多模态（文本、图像、视频）领域的业务落地。大模型微调与科研： 负责针对特定业务场景的模型优化与工程化部署；跟踪自然语言处理、计算机视觉等前沿动态，推动科研成果转化。二、 任职要求1.基本要求软件工程、计算机科学、人工智能等相关专业本科及以上学历（AI方向要求硕士、博士优先）。具有 5 年以上项目工作经验，具备良好的团队协作精神与沟通能力。2.具体要求.方向一：信息化方向(1) 效能工具与平台开发： 负责研发效能工具平台、复杂微服务交付系统的设计与全栈开发，通过自动化手段全面提升团队研发与私有化交付效率。(2) AI 全栈编程实践： 积极拥抱 AI 研发模式，熟练利用 AI 辅助编程工具（如 Cursor、Copilot 等）高效完成从前端交互到后端逻辑的全栈业务开发，推动研发流程智能化。(3) 高可用架构演进： 深度负责核心组件（MySQL、Redis、PostgreSQL、中间件等）的高可用设计、集群部署方案落地及生产环境的深度调优。(4) 标准化与交付攻坚： 负责 CI/CD 流水线的建设与容器化（Docker/K8s）标准制定；针对生产环境的复杂网络、系统瓶颈等“疑难杂症”，提供深度的排查定位与最终解决方案。方向二：AI系统架构与科研方向(1) 扎实的机器学习/深度学习基础，熟悉主流 NLP 任务及 Transformer/Attention 机制。(2) 熟悉 AI Agent、知识图谱架构设计，具备高效智能多策略检索生成系统（RAG/RIG）实战经验。(3) 具备全链路调优能力，熟悉模型微调及部署加速框架（ONNX/TensorRT 等）。(4) 在AI领域发表过顶级学术论文，或参与过知名开源项目优先。三、职业发展1.专业晋升通道：专职研发人员序列（RT序列）；2.参与国家级重点科研项目机会；3.配套博士工作站、产学研合作资源支持。
AI大模型应用开发工程师,北京千方科技股份有限公司,1.5-2万,北京·海淀·上地,3-5年,本科,上市公司,1000-9999人,软件/IT服务,已上市,职位描述 岗位职责:1.负责基于大模型(LLM)的AIAgent系统开发与应用落地。2.设计和实现RAG(检索增强生成)架构，构建企业知识库。3.开发和优化智能体工作流、多Agent协作、工具调用能力。4.进行Prompt Engineering、Agent策略优化与效果提升。5.参与模型训练或微调(LoRA/SFT)及推理优化。6.建立Agent评估体系，提升回答准确率和稳定性。 任职要求: 1.计算机、软件、人工智能等相关专业，本科学历3年以上工作经验，硕士学历1年以上工作经验。 2.熟练掌握Python或Java，具备良好的代码工程能力。 3.熟悉LLM应用开发与AI Agent架构，熟悉至少一种 Agent开发框架LangChain、Spring AI等。 4.熟悉RAG技术体系，有LLM产品落地或企业知识库项目经验优先。 5.熟悉Milvus等向量数据库和检索系统。 6.熟悉Docker/Kubernetes/Al模型部署，有模型微调、Agent评估经验优先。
