岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
人工智能工程师/接受无经验,福州高新区才拓科技有限公司,1-1.5万,广州·天河·冼村,经验不限,大专,民营,100-299人,产业互联网平台,,职位描述 一、岗位职责 协助工程师收集、整理人工智能相关数据，参与数据标注与预处理工作； 辅助搭建简单的 AI 模型测试环境，配合完成模型训练与验证的基础操作； 记录工作过程中的数据与问题，整理成报告并同步给团队； 学习 AI 领域相关技术知识，配合团队完成技术文档的初步撰写。 二、岗位要求 学历：大专及以上学历，计算机、电子信息、数学等相关专业优先，非相关专业亦可； 经验：接受无 AI 相关工作经验，对人工智能领域感兴趣，公司提供系统岗前培训； 能力：具备基本的电脑操作能力，有学习意愿，逻辑思维清晰，能配合团队完成工作。 三、福利待遇 薪资：符合人工智能行业助理岗当前水平，具体面议； 保障：缴纳五险一金，全面保障员工权益； 时间：朝九晚六工作制，无加班，平衡工作与个人生活。
ai训练师/数据标注,深圳市转凡成圣教育科技有限公司,7000-9000元,广州·天河·黄村,经验不限,本科,100-299人,软件/IT服务,,,职位描述 工作职责：1. 负责AI模型训练所需的文本、图像或语音数据的标注工作，严格遵循标注规范与质量标准。2. 对标注数据进行质量校验与异常数据修正，确保数据的准确性与一致性。3. 协助技术团队优化标注流程与工具，提升数据处理效率。4. 记录标注过程中的问题与反馈，为模型迭代提供数据支撑。任职要求：1. 本科及以上学历，计算机、数据科学或相关专业优先。2. 了解AI数据标注的基本流程，有图像分类、语义分割或文本标注经验者优先。3. 具备较强的责任心与耐心，能细致处理重复性任务并保证质量。4. 学习能力强，能快速掌握新的标注规则与工具。 福利待遇 朝九晚六 周末双休
AI智驾数据采集/双休不加班/,四川锦熙兴业商贸有限公司,6000-8000元,广州·海珠·官洲,3-5年,高中,20人以下,软件/IT服务,,,职位描述 【岗位说明】负责自动驾驶车辆收车，出车及安全点检、系统运维等工作，保证车辆正常测试；收集数据，路线。处理自动驾驶车辆在测试运营过程中的异常问题任职要求：1.驾龄3年及以上。2.近 1 年内无6分违章，近三年累计违章不超过12分。3.需要有全职司机或者智驾测试经验（不是开自家车）4.中专/高中及以上学历5.年龄在40以下岗位说明：每天5-7小时不加班薪资构成：无责底薪+季度绩效*4+年终奖 17薪 年薪8W左右驾龄3年及以上，三年累计扣分不超12分。
ai数据标注,南昌辰睿科技服务有限公司,8000-10000元·13薪,广州·越秀·北京街道,经验不限,大专,民营,100-299人,技术服务,,职位描述 我们正在寻找一位专业数据标注师，负责为机器学习模型提供高质量的训练数据。工作内容：包括数据分类、标注、校验和整理等。岗位要求：1. 大专及以上学历，计算机或相关专业优先；2. 熟悉数据标注工具和流程；3. 良好的数据敏感度和分析能力；4. 细心、耐心，有团队精神；5. 有数据标注或相关领域工作经验者优先。
AI架构师,东莞市中堂临式互联网工作室(个体工商户),5-8.5万,广州·天河·天河南,经验不限,,20-99人,人工智能,,,"职位描述 一、公司背景 1、你好，我是本公司的董事长。自身有大规模b端企业资源，且自身一直使用claude ops4.6大模型，做过产品和拓展业务，希望可以找到志同道合的的人群进来。我们主要为b端做Ai赋能，各种部门的应用场景，且不限于虚拟或者实体硬件等等。2、公司会提供算力和合作，请放心与我沟通，和展示你的阅历实力，以及作品实例（可线上进行深度面试与展示，例如todesk、向日葵）。 3、优秀者线上面试通过后，则与我线下一起协商敲定合同，长期线上合作或者全职，当然也可以坐班，因人而异。欢迎大家和我，一同杀进Web4.0新时代！二、岗位职责（至少深度懂两项） 1. 通用AI能力中台架构设计：搭建公司统一的B端AI能力中台，将大模型推理、RAG检索、Agent编排、文档智能处理、数据可视化、流程自动化等核心能力组件化、标准化，实现""一次开发、多场景复用""，大幅降低客户定制化开发成本与交付周期。 2. 全场景AI解决方案架构设计：针对企业七大核心部门的业务痛点，设计对应的AI软件解决方案： ◦ 电商专项：智能选品、智能文案生成、智能客服、智能营销投放、订单智能处理、用户画像分析、竞品监控等； ◦ 产品专项：智能需求分析、产品文档自动生成、用户反馈智能挖掘、原型辅助设计、产品数据智能分析、竞品分析报告自动生成等； ◦ 通用部门：智能销售助手、智能审批、智能财务报销、智能招聘、智能会议纪要、企业知识库等。 3. 多语言全栈技术体系搭建：主导""前端低代码+Go后端+Python模型服务""的技术体系建设，重点强化前端交互与软件体验，确保AI产品在不同行业、不同规模企业中的易用性与兼容性；负责技术栈选型、开发规范制定与核心模块代码评审。 4. SaaS与私有化部署双模式架构支持：设计同时支持SaaS多租户与私有化部署的灵活架构，满足中小企低成本快速上线与大企业数据安全合规的双重需求；负责系统的高可用、高并发设计与性能优化，保障多客户同时使用的稳定性。 5. 客户需求对接与技术方案输出：深度参与售前技术支持，与客户电商、产品、销售等核心部门负责人对接，理解客户真实业务流程与痛点，输出专业的AI赋能架构方案与技术白皮书；指导交付团队完成项目落地，解决客户现场的核心技术问题。 6. 低代码AI开发平台设计：主导公司低代码AI开发平台的架构设计与迭代，支持非技术人员（如产品经理、运营人员）通过拖拽方式快速搭建简单的AI应用，进一步提升客户定制化需求的响应速度，降低交付门槛。 7. 前沿技术调研与落地：持续跟进大模型应用、前端AI交互、低代码、电商AI工具等领域的前沿技术，结合B端客户需求进行技术预研与落地，不断提升公司AI解决方案的竞争力。 三、任职要求（至少符合3项） A、硬性要求 1. 3年及以上B端软件或AI产品架构设计经验，有企业级SaaS产品或AI解决方案落地经验，具备从0到1搭建可复用技术中台的能力。 2. 精通Go和Python两门核心语言，可基于Go开发高并发、高可用的后端服务与API网关，基于Python完成AI模型推理、RAG链路、数据处理等核心逻辑开发。 3. 精通前端技术栈，熟练掌握TypeScript、React、Vue等主流前端框架，具备复杂前端应用的架构设计能力；有低代码平台或可视化编辑器开发经验者优先。 4. 精通大模型工程化落地，熟练掌握LLaMA3、Qwen、ChatGLM等开源大模型的微调、量化、推理优化与私有化部署；具备丰富的RAG检索增强生成与Agent应用架构设计经验。 5. 精通云原生架构，熟练使用Docker、K8s进行容器化部署与编排；熟练使用MySQL、PostgreSQL、Redis、Milvus等数据库与中间件；具备SaaS多租户架构设计与数据隔离经验。 6. 本科及以上学历，计算机科学与技术、软件工程、人工智能等相关专业。 B、软性要求 1. 极强的业务理解与需求转化能力，能快速理解不同行业、不同部门（尤其电商、产品部门）的业务流程与痛点，将模糊的客户需求转化为清晰、可落地的技术架构方案。 2. 优秀的沟通表达与客户对接能力，能独立完成售前技术方案宣讲、客户技术答疑与现场问题解决，具备良好的服务意识与客户思维。 3. 注重交付效率与成本控制，能在保证系统质量的前提下，设计最轻量化、最快速交付的解决方案，满足中小企客户的核心需求。 4. 具备良好的团队协作能力与技术分享精神，能带领3-5人的技术小组完成项目开发与交付，指导初级工程师成长。 5. 具备强烈的学习意愿与解决问题的能力，能快速掌握新的技术与业务知识，应对不同客户的多样化需求。 四、加分项1. 有电商行业AI赋能（如智能选品、智能营销、电商客服）或产品研发流程AI化项目落地经验者优先。 2. 有低代码平台、可视化大屏、智能表单等B端通用工具开发经验者优先。 3. 有SaaS产品从0到1商业化落地经验者优先。 4. 有少量硬件集成（如智能摄像头、传感器）与软件对接经验者优先。 5. 有国产化操作系统、国产化数据库适配经验者优先。 6. 持有阿里云ACE、华为云AI高级架构师、Kubernetes CKA等认证者优先。 7. 有开源项目贡献或技术博客作者优先。 五、公司福利 1. 有竞争力的薪酬：基本工资+绩效奖金+年终奖金+项目交付奖金+客户成功奖金，每年2次调薪机会。 2. 完善的保障：五险一金+补充商业保险+年度体检+带薪年假+病假。 3. 技术成长：定期技术分享会+外部技术培训+行业会议参与机会+充足的学习时间。 4. 舒适的工作环境：弹性工作时间+不强制打卡+免费下午茶+零食饮料+月度团建活动。 5. 广阔的发展空间：扁平化管理+清晰的技术与管理双晋升通道+核心项目参与机会+股权直接分成。"
Manager - Data and Analytics (AI project) ID206036,汇丰环球,1.5-2.5万,广州·天河·林和,3-5年,本科,外商独资,10000人以上,银行,,"职位描述 Some careers have more impact than others.If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.We are currently seeking an experienced professional to join our team in the role of Manager - Data and Analytics.Principal responsibilities- Design, implement, and optimize machine learning models for classification, regression, clustering, NLP, computer vision, or recommendation systems (as applicable).- Work with large, complex datasets to extract insights and engineer meaningful features.- Develop end-to-end ML pipelines—from data ingestion and preprocessing to model training, evaluation, deployment, and monitoring.- Collaborate with cross-functional teams to integrate AI/ML capabilities into production systems.- Stay current with the latest research and technologies in AI/ML and assess their applicability to business challenges.- Ensure model performance, scalability, reliability, and compliance with ethical AI principles.- Document methodologies, results, and best practices for knowledge sharing and reproducibility. Requirements- Bachelor’s, Master’s, or Ph.D. in Computer Science, Electrical Engineering, Data Science, or a related technical field.- 3+ years of hands-on experience in developing and deploying machine learning models in production environments.- Proficiency in Python and common ML libraries (e.g., scikit-learn, TensorFlow, PyTorch, XGBoost).- Strong understanding of supervised and unsupervised learning algorithms, deep learning architectures, and evaluation metrics.- Experience with cloud platforms (AWS, GCP, or Azure) and MLOps tools (e.g., MLflow, Kubeflow, SageMaker).- Solid software engineering skills, including version control (Git), testing, and CI/CD practices. Candidate with less relevant experience or skills may be offered a lower Global Career Band than stated above.Due to the urgent hiring need, candidates with immediate right to work locally and no relocation need will be prioritised.You’ll achieve more when you join HSBC.HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
AI视频剪辑（会可灵）,河南牛人设计网络科技有限公司,6000-9000元,广州·白云·永平,经验不限,,民营,100-299人,互联网电商,,职位描述 时间自由，欢迎加入我们 1. 公司自己订单，视频剪辑订单。 2. 电商店铺稳定订单 3. 能对客户认真负责 4、热爱剪辑视频 岗位职责： 1、根据短视频、品牌宣传片、商业广告等不同项目需求，独立运用AI剪辑工具结合专业剪辑软件，完成从素材筛选、精剪拼接、调色配乐到成片输出的全流程制作工作； 2、熟练运用各类AI剪辑核心功能提升制作效率与作品质感，确保成片画面流畅、音频清晰、字幕准确，符合品牌调性及平台发布规范 3、负责AI生成原始素材的优化处理，解决素材一致性、逻辑跳跃等问题，通过剪辑技巧实现AI素材与传统拍摄素材的无缝融合； 4、跟进行业AI剪辑技术动态，主动探索新的AI剪辑工具（如Midjourney、Stable Diffusion、即梦、豆包、可灵、海螺、星流、Vldu、Runway等）及应用技巧，优化工作流，提升产出效率。
