岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
AI 应用开发工程师,日通技研(杭州)科技有限公司,1-1.6万,广州·天河·元岗,经验不限,,民营,20-99人,软件/IT服务,,职位描述 【岗位职责】行业垂直应用： 开发针对特定复杂行业的 AI 数据分析、智能对话等中台产品；大模型训练： 参与研发行业级专用大语言模型（LLM），提升模型在特定领域的专业性；分布式 AI 研发： 参与结合分布式计算与 AI 架构的前沿底层协议开发；技术创新： 持续关注 AI 前沿论文与技术，基于前沿成果实现产品创新；【入职要求】模型运用： 深度掌握主流大模型（如 OpenAI、DeepSeek 等）的原理与应用；提示词工程： 精通 Prompt Engineering，能够处理复杂任务分解及长链逻辑编排；架构经验： 熟练应用 RAG（检索增强生成）、向量数据库及主流 Agent 智能体框架；【加分项】底层原理： 了解机器学习、深度学习、Transformer、MoE 等模型底层架构；工程能力： 熟悉 Python 后端开发逻辑（如 FastAPI、MySQL），具备完整的 AI 服务接口开发经验；模型微调： 具备微调实战经验，了解 LoRA、QLoRA、SFT、RLHF 等优化技术；
AI直播 每天3小时 月收入1万至15万,安徽晓聚文化传媒有限公司,1-2万,广州·南沙·南沙,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 工作职责1. 负责抖音平台日常直播，通过聊天互动、趣味小游戏等轻松内容与观众建立情感连接，提升直播间活跃度与留存率。2. 参与公司免费线上培训课程，系统学习直播技巧、平台规则及内容优化方法，持续迭代直播表现。3. 配合运营团队的实时指导，根据数据反馈调整直播内容与风格，逐步提升直播效果与粉丝粘性。4. 严格遵守平台规范，确保直播内容积极健康，维护正向的直播间氛围。任职要求1. 形象气质良好，具备基础镜头表现力（公司提供专业美颜技术支持）。2. 性格开朗外向，乐于与人交流，愿意在镜头前展现个人特质。3. 能够接受系统化免费培训，积极配合运营团队的指导与建议。4. 时间安排灵活，可自主规划直播时段，保证稳定的直播频率。补充说明1. 工作地点：不限地区，支持居家直播+线上培训2. 薪酬福利：礼物提成45%（每日可自提）；提供24小时在线运营支持及免费培训3. 休息时间：自由安排，无强制排班要求
AI应用开发工程师,自我游,1.2-2.4万,广州·天河·天园,1-3年,本科,民营,100-299人,产业互联网平台,C轮,职位描述 岗位职责：1、负责旅游大数据平台的架构设计、开发与优化，构建高效、稳定且可扩展的数据处理架构，确保海量旅游数据（包括但不限于旅游预订数据、用户行为数据、旅游景点数据、酒店数据等）的存储、管理和分析。2、运用机器学习、深度学习等 AI 技术，对旅游数据进行挖掘和分析，开发智能算法模型，如旅游需求预测模型、用户画像模型、旅游产品推荐模型等，为旅游企业的决策提供数据支持和智能化解决方案。3、与数据工程师、产品经理以及业务部门紧密合作，将 AI 模型集成到旅游 SaaS 产品中，实现智能化功能，如个性化旅游推荐、智能行程规划、智能客服等，并持续优化模型性能和用户体验。4、跟踪大数据和 AI 领域的最新技术发展趋势，探索新技术在旅游行业的应用场景，推动公司技术的不断创新和升级，提升公司在旅游互联网 SaaS 市场的竞争力。5、负责数据管道的开发和维护，确保数据的实时或批量传输、转换和加载，保障数据的准确性和及时性，为数据分析和 AI 模型训练提供高质量的数据基础。6、参与团队的技术交流和分享，提升团队整体技术水平，协助解决项目开发过程中的技术难题，确保项目按时交付并达到预期目标。岗位要求：1、教育背景 ：本科及以上学历，计算机科学、数学、统计学、人工智能等相关专业，具备扎实的数学和计算机基础理论知识。2、专业技能 ：精通大数据处理技术，熟练掌握 Hadoop、Spark、Flink 等大数据处理框架，具备实际的大数据平台搭建和开发经验，能够高效地处理和分析海量数据。熟练掌握至少一种编程语言（如 Python、Java），具备良好的编程能力和代码规范，能够运用编程语言实现数据处理、分析和 AI 模型开发。熟悉机器学习和深度学习的基本理论和算法，如线性回归、决策树、随机森林、神经网络等，熟练使用机器学习框架（如 PyTorch）进行模型训练和优化。对数据挖掘、自然语言处理、计算机视觉等 AI 技术在旅游行业的应用场景有一定的了解和实践经验，能够根据业务需求选择合适的 AI 技术解决方案。熟悉数据库技术（如 MySQL、PostgreSQL、MongoDB），具备数据库设计、查询优化和数据建模能力，能够高效地存储和管理数据。熟悉使用当前最新的技术工具，如ollama，kiln，unsloth进行模型训练微调。3、项目经验 ：具有 1 年以上大数据或 AI 项目开发经验，有旅游行业相关项目经验者优先考虑。能够独立承担项目模块的开发工作，具备良好的项目管理和问题解决能力，能够在规定的时间内完成高质量的项目交付。4、数据分析能力 ：具备较强的数据分析能力，能够从海量数据中提取有价值的信息，运用数据可视化工具（如 Tableau、PowerBI）将数据分析结果以直观的方式呈现，为业务决策提供有力支持。5、团队协作与沟通能力 ：具有良好的团队协作精神，能够与不同背景的团队成员（如数据工程师、产品经理、业务人员）有效沟通和协作，共同推进项目的顺利进行。具备良好的沟通能力和表达能力，能够清晰地向团队成员和业务部门解释技术方案和项目进展。6、学习能力与创新精神 ：对新技术有强烈的学习兴趣和快速的学习能力，能够及时跟踪和掌握大数据和 AI 领域的最新技术动态，并将其应用到实际工作中。具备创新思维，能够积极探索新技术在旅游行业的创新应用场景，为公司产品的发展提供创新性的解决方案。
Agent开发工程师(AI社交),优途人力资源(武汉)有限公司,2.5-5万·15薪,广州·天河·天河南,3-5年,本科,300-499人,人力资源,,,职位描述 画像：（必须）有AI Native产品0-1搭建经验（至少是独立模块），Side project亦可（必须）创业精神，乐于探索新技术，具备AI Native的编码习惯和沟通习惯（必须）熟练掌握主流模型SFT/RL方法（必须）沟通能力强，能把抽象的技术原理与产品和研发沟通清楚核心工作：1、C端AI产品搭建：探索AI社交/游戏Agent的NEW佳技术实践。主导下一代AI陪伴（类比斯坦福小镇/Aivilization）或下一代AI-真人社交（类比微信/********）的产品开发。起到工程团队的技术带头人角色，主导AI Agent全生命周期开发，带领前后端工程师把业界NEW先进工程实践落实2、开源项目开发：参与公司战略级Agent Memory等Agent Infra云服务的0-1产品化开发、上线和迭代（目前性能在LongMemEval、LoCoMo、EverMemBench、CloneMem等Benchmark上动态保持No. 1-2）任职资格：1、教育背景：计算机科学、人工智能等相关专业本科及以上学历2、技术能力：对主流Agent框架、Context Engineering有深刻见解和实战经验；精通Go，Python，有活跃开源项目优先3、项目经验：2-5年工作经验，具有AI Agent产品0-1搭建经验
数据标注,广州振轩智能科技有限公司,120-130元/天,广州·黄埔·联和,经验不限,大专,股份制企业,20-99人,人工智能,,职位描述 职位描述 1. 根据既定标准，对文本、图片及视频等整体质量及其各属性进行分类、分析、评价等标注工作； 2. 控制标注结果尽可能符合规则，确保所标注数据、内容相对准确、客观； 3.有意识地阶段性整理标注数据，确保数据准确，并及时反馈标注过程中遇到的问题； 4. 参与文本、图片及视频等标注流程的持续改进，协助提升工作效率和质量。 任职要求 1. 全职岗位，标注相关从业者优先； 2. 拥有专科及以上学历。 3. 具备基本的计算机操作能力，能够熟练使用办公软件； 4. 有视频、图片、音频等多种模态标注经验，非纯文字、非单一模态。 6. 具备良好的沟通技巧和团队合作精神，注重细节，具有高度的责任感、时间管理能力和保密意识； 7. 能够适应高强度的工作节奏，对待新技术和新方法持开放态度，并愿意持续自我提升。 薪资待遇：120一天。 上班时间：双休，早九晚六 午休一小时 12.00-13.00。很多项目不能带手机。
唯品会总部‖数据标注+入职五险一金+双休,四川怡卓人力资源管理有限公司,5000-7000元,广州·海珠·琶洲,1年以下,本科,民营,1000-9999人,人力资源,,职位描述 包三餐！！！班车接送！！！岗位职责：1.协助AI算法团队完成服装图像属性分类与标注（如款式、颜色、面料、风格等），确保标签准确。2.检测并修正数据集中的错误、重复或噪声数据，提升数据质量。任职要求：本科及以上学历服装设计或同相关专业！！！对AI属性感兴趣，对服装属性有专业的认知岗位福利：4500-5500+包三餐！！！可以班车接送！！！公司晋升渠道！！工作时间：9:30-19:00月休8天，双休！！！唯品会总部上班！！！福利待遇好！！！想稳定的来！！！！
人工智能大模型应用研发工程师,煜邦数字科技(广东)有限公司深圳分公司,1.3-2万·13薪,广州·天河·石牌,3-5年,本科,民营,20-99人,产业互联网平台,,职位描述 （一）岗位职责1.应用开发：负责人工智能场景应用的开发及优化，包括核心代码实现、模型训练与部署、接口集成调试等。2.技术优化：研究大/小模型、智能体相关技术，包括智能体搭建、任务规划、工具调用等。3.应用挖掘：与业务侧进行深入沟通，挖掘潜在的AI产品需求和应用场景，提供解决方案。4.熟悉人工智能领域前沿技术进展，参与人工智能领域的项目策划及研究，指导内部产品优化和创新。（二）任职要求1.计算机、人工智能等相关专业优先，2年及以上AI工作经验，具备LLM应用/智能体的开发落地经验。2.掌握Python/Java/C++等一种或多种语言，熟悉API设计、微服务、数据库等，具备全栈开发能力或经验优先。3.熟悉大模型基本原理，熟练使用至少一种智能体平台（Langchain、Dify等），能构建面向业务的智能体应用。
Ai生图实习生,广东沃土教育科技有限公司,120-200元/天,广州·番禺·市桥,经验不限,大专,民营,20-99人,学术/科研,,职位描述 工作职责1. 负责AI生成图像的筛选与质量优化，修复图像结构错误、比例失调、内容表达不符等异常问题。2. 记录并反馈图像质量缺陷，协助团队迭代图像生产流程，提升AI生图的准确性与稳定性。3. 配合完成分镜设计、漫剧等视觉内容的AI辅助生产工作，确保输出符合项目要求。任职要求1. 美术、动画、视觉传达、数字媒体艺术等相关专业在读学生优先。2. 熟悉至少1款AI绘图/视频工具（如MidJourney、Stable Diffusion、即梦、可灵等），了解工具的基础操作逻辑。3. 具备良好的审美能力与细节把控力，能快速识别图像中的视觉问题。说明：1. 工作时间：8:45~18:15（午休1.5小时），周末双休2. 实习形式：签订实习协议，提供实习证明（不签三方）3. 家住公司附近优先考虑
AI研发工程师（AI Agent/应用落地方向）,广州市九重天信息科技有限公司,8000-15000元,广州·天河·五山,经验不限,本科,民营,20-99人,计算机硬件,,"职位描述 岗位职责：1.应用研发： 负责基于大模型（LLM）的AI Agent（智能体）开发与落地，包括Prompt工程、RAG（检索增强生成）、工具调用（Function Calling）等机制的实现；2.模型优化： 负责NLP/推荐相关模型的微调（Fine-tuning）、量化及在实际业务场景中的效果调优；3.工程落地： 负责AI模型/服务的后端接口开发、部署与性能优化，确保算法模型在生产环境下的高可用与低延迟；4.数据处理： 负责相关业务数据的数据清洗、ETL流程建设及向量数据库的维护；5.技术探索： 跟踪AI前沿技术（如Multi-Agent、CoT等），撰写技术文档，推动新技术在业务中的应用。任职要求：1.学历背景： 本科及以上学历，计算机、人工智能、数学等相关专业；2.编程能力： 精通 Python，编程基础扎实；熟悉 Java 或 C++ 其中一种作为加分项（用于业务对接或性能优化）；3.AI框架： 熟练掌握 PyTorch/TensorFlow 等主流深度学习框架；熟悉 LangChain、AutoGPT 或类似 Agent 开发框架者优先；4.工程能力： 熟悉 Linux 开发环境，了解 Docker/K8s 容器化部署；熟悉 MySQL 及 向量数据库（如 Milvus, Chroma, Faiss 等）的使用；5.综合素质： 具备良好的逻辑思维能力，能够独立分析业务需求并转化为技术方案，有较强的抗压能力和团队协作精神。"
deepseek-人工智能软件销售,探迹科技,1.5-3万,广州·白云·嘉禾,经验不限,,民营,1000-9999人,人工智能,最佳雇主,职位描述 【我们给到的】1、薪资构架：底薪4-5k（按面试表现定薪）+订单佣金+商机佣金+奖金，月综合收入8-15K，月底发当月工资；（客单价2W-10W）实习生无责底薪3500+订单佣金+商机佣金+奖金佣金范围：铜牌1.5k-3k；银牌3k-6k；金牌6k-1.2w每年两次调级调薪机会。 2、享受国家法定节假日放假，婚假、产育假、陪产假等法定假期。 3、入职即购买五险一金+入职体检费用报销； 4、其他福利：不定期团建、下午茶、年度旅游、节日礼物，员工体检等。 5、带薪培训：公司有专业培训、标准化、流程化、阿里系培训，入职即安排岗前培训、产品学习培训、销售技能培训等。关注员工学习发展，全年免费在职培训，学习与挣钱同时满足。【你需要做的是】：1、产品类型（ToB的SaaS软件）:类似企微、钉钉、OA等软件产品;2、客户群体（全行业销售型企业）：有销售团队的To B企业用户，不限行业，各种类型行业的企业均适用；3、销售模式（电销开发全国客户不用外出）： ①电话精准邀约客户（每天电话开发精准邀约3-5个有效客户） ②交给产品专家签约客户(演示产品使用功能、销售专家角色的顾问式销售)；4、客户来源（公司提供拓客系统资源）：公司内部公海池、公司拓客系统查找全国客户群体、主流企业平台查询、行业展会、转介绍等等；运用多种销售技能和销售话术，进行客户开发，不断拓展积累客户资源，建立和维护客户档案，持续开发新客户。【我们需要的你是】：1、不限学历，可小白2、有1年以上的销售经验，有一定的抗压能力；3、性格开朗，学习能力强，良好的沟通表达能力；4、有B端销售工作经验或互联网行业背景优先考虑；5、能适应面向B端企业面销的工作节奏，自驱力较强。
AIGC 创作者实习生,广东爱简艺人工智能科技有限公司,2000-3000元,广州·海珠·官洲,经验不限,大专,20-99人,人工智能,,,"职位描述 1.[AIGC创作设计师岗位]一．岗位职责：1、使用AIGC绘图工具(如即梦、可灵、海螺、Stable Diffusion、Lovart、NanoBanana、Midjourney、Comfyui、FLUX等)创作高质量的图像,包括角色、场景等;2、结合项目需求，用AI工具生成AI图文或者短视频，对AI生成的图像进行后期精修和调整，确保最终成果符合艺术指导和品牌风格;3、搭建和维护高效的AI绘图工作流(ComfyUI)，提升团队的工作效率;4、训练和优化模型，以实现更个性化和风格化的图像生成;5、与跨职能团队合作，理解项目需求，并提供创意解决方案;6、跟踪AI绘图技术的最新趋势，不断探索和实验新工具和方法。二．任职要求1、专科以上在读明年应届毕业生，熟练掌握以下AI工具包, 包括Stable Diffusion /Midiourney、ComfyUI、即梦、可灵、海螺、lovart、tapnow、nano banana、veo3.1、sora等优先；2、熟练掌握Adobe全家桶/Photoshop/Pr/ai/剪映等平面及视频剪辑工具；3、有基本的计算机应用能力和资源检索能力，了解Open AI、Gemini、Kimi、豆包，有ChatGPT、Gemini、Kimi、豆包操作经验;4、熟练运用三维软件Blender及插件，熟练掌握模型/材质/灯光渲染/动画(角色要求)，具备后期AE合成能力(加分项VFX)等加分项目；5、有主动解决问题的思维和学习自驱力;具备良好的平面设计功底和视觉创意及审美能力;6、能灵活处理对应的工作事项，工作细心，学习能力强，沟通顺畅，接受反馈并及时调整；7、实习期3个月以上优先。三．加分项有一定视听语言经验（影视剪辑、配音配乐、分镜思维）等加分 对AI工具有一定使用经验(如AI写作，AI制图等).优秀者可转正.薪资范围：2000-3000/月（含餐补），项目奖金另计工作地点：海珠区华新科创岛工作时间：上班时间10：00-18：30(午休一个半小时)"
