岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
Ai兼职居家直播每天两个小时日收入破千,安徽晓聚文化传媒有限公司,1.5-3万,北京·通州·北苑,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 1免费培训：免费在线培训。 2直播平台：抖音 3.工作地点：不限制地区。在自己家里直播。 4工资发放：主播每天自提。 5礼物提成：45% 6休息时间：自由安排 7直播内容：聊天，唠嗑，开玩笑，吹牛，互动小游戏等，不要求直播经验和才艺。有才艺更好 任职要求： 形象气质佳 （不要害怕自己不好看，美颜比你想象的强大） 活泼，开朗，喜欢聊天， （不会说话的，我们也教，放心我们大把讲师授课） 配合公司完成专业培训指导 （所有培训都是免费的） 福利待遇 高服务，我们培训人员每天轮流值班，全天24小时在线，帮助主播发现问题。即时调整。迅
AI智能应用工程师,中际联合,1.5-2.3万,北京·通州·马驹桥,3-5年,本科,上市公司,500-999人,风电,已上市,职位描述 一、岗位职责1.AI业务场景挖掘：跟踪业界最新AI技术动态，收集行业提效场景，寻找企业适配性提效点。对接各业务部门，梳理AI需求，输出可落地的AI应用方案、功能原型、里程碑计划及评价指标。2.AI应用搭建推进：负责制定智能体搭建计划、测试计划及最终开发效果评估，深度参与AI整体体搭建过程并进行质量规范控制。负责监控智能体运行效率，持续收集用户反馈，并制定迭代优化方案和实施计划安排。3.业务赋能与效能提升制定AI智能体场景推广策略和推广计划，通过智能化手段解决痛点，显著提升运营效率、降低成本并优化用户体验。协同业务部门梳理流程、标准和知识规则，推动AI能力嵌入现有管理流程和业务系统。制定AI智能体落地效果评估机制和激励措施，保障AI能力有效落地 切实提升企业运营效率。4.企业AI素养及能力提升组织内部AI 理念培训与知识分享，提升全员AI 素养及AI应用能力。组织用户培训、推广辅导和使用支持，提升员工使用率、应用覆盖率和实际业务价值。5.项目管理与成果沉淀跟进AI项目进度，协调第三方厂商、内部IT和业务部门完成需求确认、开发联调、测试验收和正式上线。建立应用台账、案例库和数据指标看板，沉淀AI场景、优化经验和复用组件，逐步形成公司内部AI能力体系。主导行业模型、智能体（Agent）等前沿AI工具和平台在业务场景中的选型。 二、任职要求： 1.本科及以上学历，计算机、人工智能、自动化或相关专业；3年以上AI应用、数字化转型或智能制造相关经验，有大型制造企业AI落地成功案例者优先。 2.熟悉大语言模型、小模型微调及智能体开发框架，理解关键技术。 3.编程能力：熟悉 Python 编程开发语言，具备扎实的编程功底与良好编码习惯；​ 4.核心技术：熟悉大语言模型、多模态等技术，掌握 Prompt、RAG、Agent 的基本原理与应用方法，熟悉 LangChain 等应用范式；具备智能体框架使用经验（如多智能体协作），理解Tools / Skills / Function Calling的实现机制，有实际LLM应用项目经验（侧重应用落地）。 5.应用能力：熟悉大模型主流应用范式（知识问答、文本理解、文档生成、智能调度、AIGC 交互式对话产品研发等）。 6.具备敏锐的业务洞察力，善于识别业务痛点 能将复杂的业务问题转化为可执行的AI技术方案，有制造行业AI智能体落地经验者优先。 7.沟通协同能力：优秀的跨部门沟通协作能力，能有效推动技术与业务的深度融合。 8.综合素质要求：关注行业与技术发展趋势，热爱学习新技术并结合业务落地实践，具备高度的责任感、团队合作精神及较强的推动能力。
数据标注专员-T序列-AI语音技术提效工程师（预训练方向）,中电金信软件有限公司,1-2万,北京·海淀·海淀街道,1-3年,本科,国企,10000人以上,软件/IT服务,优选雇主,职位描述 工作职责1. 对接大模型研发团队需求，设计并搭建音视频数据的持续收集与迭代机制，保障训练数据的稳定供给。2. 主导数据全生命周期处理：包括清洗去重、格式转换、隐私脱敏及风险分流，输出标准化训练集并沉淀统一接入方案。3. 拓展优质数据渠道，优化数据处理链路，提升预训练数据的规模、多样性与质量，快速响应研发团队的数据需求并解决落地问题。4. 跟踪AI领域前沿技术（如多模态、Agent框架、Harness Engineering），探索其在复杂数据任务中的应用场景，推动技术提效。任职要求1. 计算机、数据科学、电子信息及相关专业本科及以上学历，具备良好的跨团队沟通与协作能力。2. 2年以上工程研发经验，熟练掌握Python（优先）或Golang等开发语言，有音视频数据处理经验者优先。3. 掌握Prompt设计技巧，了解语音处理技术或NLP基础算法，能理解大模型预训练的数据逻辑。4. 熟悉数据仓库操作（HSQL）及数据分析工具（Pandas、Tableau），能独立完成数据质量分析与优化。
爬虫工程师（音视频数据方向）——AI大厂,外企德科,1.5-2.5万·15薪,北京·海淀·海淀街道,1-3年,本科,合资,20-99人,人力资源,,职位描述 工作职责：1. 负责互联网音频、视频平台的数据采集，包括节目/专辑/视频元数据、评论、播放数据等信息的抓取与结构化整理。2. 设计并实现稳定高效的音视频爬虫系统，支持大规模、多站点的持续采集与更新。3. 针对主流音视频平台的反爬机制（登录态校验、频控、滑块验证码、JS 加密、动态接口、加密链接等）进行分析与对抗，持续提升成功率与稳定性。4. 参与音视频资源解析相关工作，如播放地址/m3u8/DASH 等协议分析、加密参数解析、接口抓包与协议还原（仅用于合法合规场景）。5. 搭建数据采集监控体系，包含任务调度、失败重试、数据质量监控、告警与日志分析。6. 持续优化爬虫框架与采集策略，提升抓取效率、降低带宽与存储开销。7. 与产品、算法、数据、内容运营等团队配合，根据业务需求设计数据采集方案，为推荐、内容分析、风控等场景提供数据支持。8. 编写和维护相关技术文档、开发规范，参与爬虫平台的架构演进。任职要求：1. 本科及以上学历，计算机相关专业优先，具备 1 年及以上互联网爬虫或数据采集相关经验（优秀者可适当放宽）。2. 精通 Python，熟悉 Scrapy、Requests、Playwright、Selenium 等至少一种爬虫/自动化框架，有实际项目经验。3. 深刻理解 HTTP/HTTPS 协议和浏览器工作机制，熟练使用抓包工具（如 Charles、Fiddler、Wireshark、Chrome DevTools 等）进行接口分析与问题排查。4. 有针对主流网站或 APP 的反爬对抗经验，熟悉登录维持、Cookie/Token 管理、代理池、UA 伪装、JS 逆向、加密参数还原等技术手段。5. 对音视频播放相关协议和格式有一定了解，例如：* 常见音视频封装格式与编码（MP4、FLV、HLS/m3u8、DASH 等）；* 简单理解 CDN、分片下载、防盗链等机制者优先。6. 熟悉常见存储与缓存，如 MySQL、Redis、MongoDB、Elasticsearch 等，了解基本的数据清洗、去重和索引优化。加分项：* 有自研或主导搭建过大规模分布式爬虫/采集平台的经验；* 有面向音视频内容的搜索、推荐、内容理解、版权分析等相关项目经验；* 熟悉 Linux 环境，能够进行基础运维与部署，有 Docker/Kubernetes 经验者优先；* 在 GitHub、技术博客、社区有技术输出或开源项目经历。
字节 AI数据采集（双休包三餐）,江苏成功企业管理有限公司苏州分公司,1-1.4万,北京·海淀·中关村,1-3年,本科,民营,1000-9999人,人力资源,,职位描述 一线互联网大厂，接受无经验，提供带薪培训，入职五险一金，周末双休，提供免费三餐，无限量下午茶~职位描述：1.负责深度学习算法的数据采集和整理，推动问题及时合理解决；2.负责据采集工作，之前有传感器采集经验最好；3.负责数据场景的采集和可视化工作；4.辅助常规的数据测试和采集监督工作职位要求： 1.本科以上优先，对数据敏感；2.吃苦耐劳，对数据采集工作有较好的理解和兴趣，有一定的抗压能力；3.逻辑思维较好，熟悉计算机基础操作4.有AI数据采集方面相关工作经验者优先；5.有python等脚本编程能力者优先
高薪AI软件销售+提供资源+不加班,北京同创蓝天云科技有限公司,7000-14000元,北京·丰台·丰台街道,经验不限,,民营,100-299人,软件/IT服务,,职位描述 欢迎小伙伴们投递简历或来电咨询！您只需要年龄在20-35岁之间、会电脑简单操作、口齿清晰、语言表达能力强、能说话、敢说话、有强烈的挣钱欲望，就可以加入我们的团队。【商企数字化转型宣传获客必备】公司旗下自主研发酷雷曼VR全景AI智能数字化升级营销平台×云微客GEO（AI搜索优化/AI搜索推荐）优化系统，无需专业技能，普通人也能轻松上手。依托AI搜索优化与推荐技术，精准抢占流量入口，将宣传展示内容推送给目标客群。同时沉浸式VR全景体验加深品牌认知，实现从获客到留存转化的高效闭环，助力商企品牌价值提升与业绩增长。咱们客户大致分两类:第一类是终端客户，就是急需给自己做VR全景及AI营销拓客的，公司拥有全行业落地方案及实际案例，大到政企小到衣食住行商户，适用于各行业领域；第二种是合作客户，一是手握市场资源但技术支撑不足的公司机构，二是渴望通过副业创业实现自我价值的个人。公司提供全程陪跑式帮扶、技术及商业落地模式，无需开店及团队，轻资产抢占互联网风口项目。【提供准意向客户】不需要自己找客户，公司网络营销部在各大平台投放的广告，各种推广渠道都有，客户源源不断。成单率高，轻松月薪上万。【工作内容简单】以电话、网络等形式与客户沟通，解答咨询问题定制方案，邀约客户到公司面谈成交或线上成交。【没有经验有人带】销售岗无需相关行业经验及专业技术知识，但要沟通能力好，思维活跃，能抗压，有一定的社会阅历！入职有带薪培训、有人带，全程有领导帮扶，两三天即可上手与客户沟通。公司提供的客户资源都是通过广告推广来的感兴趣的意向客户，自己在努力些，一般两三周就可以开单。【薪资待遇很靠前】1. 综合底薪8000+，提成5%-13% ，另加奖金。2. 不定时安排聚餐、k歌、拓展、旅游等娱乐，有带薪法定假期、超长春节假期等。【工作轻松不加班】朝九晚六，中午休息一个半个小时。【办公环境高大上】公司提供电脑、电话，无外出，环境好。
AI全栈工程师（数智化转型）,港中旅酒店有限公司,1.5-2.5万,北京·西城·牛街,3-5年,本科,国企,500-999人,餐饮服务,,职位描述 岗位名称： AI全栈工程师（数智化转型）所属部门： 科技信息部直接上级： 科技信息总经理岗位核心目标：AI 能力与业务系统融合落地，贯通前端、后端、AI 模型开发与部署，支撑智能客服、智能推荐、RAG 问答等场景。主要职责与工作任务：一、AI应用全栈开发1、负责 AI 原生应用开发，集成大模型能力（如 RAG、Agent），实现智能客服、智能问答、内容生成等功能（如自动生成 PPT、行业文案）。2、搭建端到端 AI 应用架构，涵盖前端交互界面、后端服务接口、AI 模型调用 / 微调全流程，弥合算法与产品落地鸿沟。3、开发 AI 工具链（如智能工单、智能运营助手），支撑酒店数智化转型场景落地。二、模型工程化与部署1、将算法团队模型进行工程化封装，部署为可扩展、高可用的微服务，支持模型版本管理、灰度发布。2、负责 AI 服务部署（Docker/K8s）、监控与运维，保障推理速度、稳定性与资源利用率。3、 优化 AI 应用性能（推理延迟、吞吐量）与成本（控制 token 消耗、选择高性价比模型），适配业务高频场景。三、技术攻坚与能力沉淀1、调研前沿 AI 技术（多模态、AIGC、Agent），结合酒店业务场景提出落地方案，推动技术创新。2、 负责 AI 与现有系统（中台、双端 APP）的融合开发，解决跨系统数据交互、模型调用异常等问题。3、沉淀 AI 开发规范、技术文档，支撑团队 AI 能力建设。任职要求（建议）：1、本科及以上学历，计算机、人工智能相关专业优先。2、3 年以上全栈开发 + AI 应用落地经验，熟悉 Vue、SpringBoot/FastAPI 等技术栈，掌握 LangChain、向量数据库（Chroma）等 AI 工具。3、了解大模型原理、RAG/Agent 开发流程，有 AI 服务部署、监控经验优先。4、 具备跨领域技术整合能力、创新思维，能快速解决 AI 落地过程中的技术难题。
