岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
C/C++/JAVA/Python/大数据/AI/开发/测试（一二线城市均有岗位需求）,外企德科数字技术有限公司,1.5-3万·14薪,深圳·龙岗·坂田,经验不限,本科,合资,10000人以上,软件/IT服务,,职位描述 【C/C++/JAVA/Python/大数据/AI/开发/均有岗位需求] PS:北京，上海，南京，杭州，深圳，东莞，成都，西安，武汉，长沙均有需求开放【福利待遇]1、六险一金全额缴纳、为期半年的老员工1对1带教，周末双休、年终奖丰厚、双倍加班费、班车福利、每年1-2次调薪机会;2、初级、中级、高级岗位均有招聘需求3、每年有一次调薪/职级调整机会;4、薪资构成:基本薪资+绩效工资，定级薪资和绩效考核标准参考正式员工标准[岗位要求]1、本科及以上学历;2、掌握C++/Java/Go/Web/python其中一种编程语言，有良好的编程习惯、热爱编程;3、对基本数据结构和算法有一定了解4、具备良好的解决问题能力、善于沟通、乐于合作;5、扎实的计算机基础，具备优秀的学习能力和逻辑思维能力，善于分析问题和解决问题有关键独立模块设计、开发和维护经验
AI直播每天2小时月入2万到15万,安徽晓聚文化传媒有限公司,2.5-5万·13薪,深圳·罗湖·桂园,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 没有经验，小白都可以。在家躺着都能赚钱。1免费培训：免费在线培训。2直播平台：抖音3.工作地点：不限制地区。在自己家里直播。4工资发放：主播每天自提。5礼物提成：45%6休息时间：自由安排7直播内容：聊天，唠嗑，开玩笑，吹牛，互动小游戏等，不要求直播经验和才艺。有才艺更好任职要求：形象气质佳（不要害怕自己不好看，美颜比你想象的强大）活泼，开朗，喜欢聊天，（不会说话的，我们也教，放心我们大把讲师授课）配合公司完成专业培训指导（所有培训都是免费的）福利待遇高服务，我们培训人员每天轮流值班，全天24小时在线，帮助主播发现问题。即时调整。迅速帮助主播做起来。
ai数据标注师（五险一金）,深圳市上为信息技术有限公司,8000-10000元,深圳·福田·莲花,1-3年,本科,民营,100-299人,产业互联网平台,,
ai训练师/数据标注,深圳市云思奇人工智能科技有限公司,1-1.8万·13薪,深圳·南山·粤海,经验不限,大专,20-99人,人工智能,,,职位描述 岗位职责1. 负责AI模型的日常训练、微调与优化工作，涵盖文本、语音、图像等多模态数据处理，完成数据清洗、标注、筛选与质量校验，保障训练数据的准确性、合规性与高质量。2. 依据产品需求与业务场景，设计优化训练方案、提示词工程，调整模型参数，提升AI模型的理解能力、响应精准度、逻辑连贯性与实用性，解决模型输出偏差、 hallucination 等问题。3. 跟踪模型训练效果与运行数据，分析模型性能短板，收集用户反馈与业务场景问题，形成优化报告，推动模型持续迭代升级，适配不同行业场景的应用需求。4. 协助搭建AI训练流程与数据标注规范，整理训练文档、案例库与知识库，沉淀训练经验，提升团队整体训练效率与模型效果。5. 配合研发、产品、业务团队，完成AI产品的测试、落地与运维支持，及时处理模型运行中的异常问题，保障AI服务稳定运行。6. 关注AI行业技术迭代与训练方法更新，学习前沿训练技术，优化现有训练流程，为公司AI技术升级提供可行性建议。任职要求1. 大专及以上学历，计算机科学、人工智能、数据科学、语言学、统计学等相关专业优先，有AI训练、数据标注、大模型微调相关工作经验者优先，优秀应届生可放宽条件。2. 熟悉AI大模型基本原理，掌握至少一种AI训练工具、标注平台或数据处理软件，了解提示词优化、模型微调的基本流程与方法，具备Python基础、简单数据分析能力者优先。3. 具备较强的逻辑思维能力、文字表达能力与细节把控力，对文本、数据敏感，能精准识别模型输出问题，高效完成数据处理与模型优化工作。4. 具备良好的学习能力与执行力，能快速适应AI行业快速迭代的节奏，主动学习新技术、新方法，责任心强，具备团队协作精神与沟通能力。5. 了解AI伦理与数据安全规范，严格遵守数据保密要求，无数据泄露、违规操作等不良记录。6. 热爱AI行业，愿意长期深耕AI训练领域，有大语言模型、智能客服、AI创作、智能问答等相关项目经验者优先录用。
AI数据工程师（智能采购方向）,深圳市玉衡云测科技有限公司,1-1.5万,深圳·宝安·新安,3-5年,本科,民营,20-99人,检测/认证/计量,天使轮,职位描述 一、岗位职责• 负责电商核心数据体系搭建，主导商品数据、供应商数据、用户数据及行业数据的标准化工作，制定统一的数据规范、清洗规则与质量评估体系，保障数据的准确性、完整性与一致性。• 负责外部数据的调研、接入与融合，设计外部数据与内部标准库的映射规则，实现外部数据的高效清洗、转换与入库，丰富标准数据资源。• 基于标准化数据体系，支撑智能采购平台的核心数据层建设，为采购预测、供应商评级、商品匹配、价格优化等AI应用场景提供高质量数据支撑。• 参与AI模型的数据预处理全流程，包括特征工程、数据标注规范制定、数据集构建与迭代优化，提升模型训练数据质量。• 负责数据仓库/数据湖的设计与优化，构建面向电商采购场景的数据模型，保障数据存储、查询与分析的高效性。• 监控数据流转全链路，建立数据质量监控机制，及时发现并解决数据异常问题，持续优化数据标准化流程。• 与产品、采购、算法团队紧密协作，理解业务需求，将数据能力转化为业务价值，推动智能采购平台的迭代升级。二、任职要求1. 基础技术能力• 本科及以上学历，计算机、数学、统计学、数据科学等相关专业，3年及以上数据工程相关工作经验，有电商行业数据处理经验者优先。• 精通SQL，熟练使用Hive、Spark等大数据处理框架，具备海量数据清洗、转换、整合的实战经验。• 熟练掌握至少一种编程语言（Python/Java/Scala），具备数据处理脚本开发能力。• 熟悉数据仓库设计理念与方法论（如星型模型、雪花模型），有数据仓库搭建与优化经验，了解数据湖相关技术者优先。2. 数据标准化能力• 具备丰富的数据标准化实践经验，深入理解商品、供应商、用户等电商核心数据的特性，能够独立制定数据标准化方案与清洗规则。• 熟悉数据质量评估体系，掌握数据血缘分析、数据质量监控工具的使用，能够有效保障数据质量。• 具备外部数据接入与融合经验，能够应对不同来源、不同格式外部数据的标准化处理挑战。3. AI应用支撑能力• 了解AI模型训练的数据预处理流程，具备特征工程、数据集构建与优化的相关经验，能够为算法团队提供贴合业务场景的高质量训练数据。• 熟悉至少一种AI框架（TensorFlow/PyTorch/Sklearn）的基础使用，了解采购预测、推荐系统、画像构建等相关AI应用场景者优先。• 能够将业务需求转化为数据需求，通过数据建模与分析，为AI应用提供数据支撑，推动AI能力在采购业务中的落地。4. 其他能力• 具备较强的业务理解能力与逻辑分析能力，能够快速切入电商采购业务场景，精准定位数据痛点并提供解决方案。• 具备良好的沟通协作能力与团队合作精神，能够高效对接跨部门团队，推动项目落地。• 具备较强的学习能力与问题解决能力，能够快速跟进新技术、新工具的应用，应对复杂的数据工程问题。• 有智能采购平台、供应链数据体系搭建相关经验者优先。 公司介绍玉衡云测致力于为客户提供综合的数智化解决方案，助力企业在数智化时代更好地应对挑战，实现公司业务高质量增长。愿景：TIC行业AI数智化首选服务商使命：助力客户高质量增长 价值观透明：坚持透明的工作流程和沟通方式，建立信任。成长：倡导员工和客户共同成长，实现共赢。链接：通过数智化服务链接人与数据、业务与技术，促使协同合作。共赢：以共赢为基础，建立长期稳固的合作关系。 主营业务营销增长咨询：为客户提供全面的营销增长战略和咨询服务，助力业务发展。玉衡GCRM系统：提供全方位的客户关系管理系统，帮助企业更好地管理客户关系，提升客户体验。数据中台：构建强大的数据中台，为企业提供全面的数据支持，助力业务决策。玉衡集采商城：提供集采平台，帮助企业实现高效的采购流程，降低成本。数智化进销存系统：为企业提供数智化进销存解决方案，提高库存管理效率。实验耗材研发生产：专注实验耗材的研发和生产，为科研机构和企业提供高质量的实验耗材产品。 我们公司在宝安兴东地铁站附近，工作时间上午8:30-12:00，下午13:30-18:00，周末双休~ 公司网址：www.bstts.com 微信小程序：乐采天下 欢迎进一步沟通
ai算法助理工程师,深圳市昱盛旺科技有限公司,9000-13000元,深圳·龙岗·龙岗街道,经验不限,本科,100-299人,人工智能,,,职位描述 工作职责1. 协助算法工程师完成AI模型的训练数据预处理、特征工程及标注质量校验。2. 参与机器学习/深度学习模型的代码实现与性能调优，输出可复现的实验结果。3. 负责算法原型的工程化部署辅助工作，配合完成模型上线前的测试验证。4. 整理技术文档与实验报告，沉淀算法开发过程中的关键经验与方法论。任职要求1. 本科及以上学历，计算机、数学、统计学或相关专业，基础扎实。2. 熟悉Python编程语言，掌握至少一种主流深度学习框架（TensorFlow/PyTorch）。3. 理解常见机器学习算法（逻辑回归、决策树、随机森林）及深度学习基础（CNN/RNN）原理。4. 具备良好的逻辑思维能力，能独立完成数据清洗、分析及可视化任务。5. 有AI相关项目实践经验（如竞赛、科研课题）者优先。
数据治理与AI应用开发工程师,深圳日彤大数据有限公司,2-4万,深圳·罗湖·翠竹,3-5年,本科,民营,20-99人,软件/IT服务,,职位描述 一、岗位名称数据治理与AI应用开发工程师地点：深圳二、岗位职责1.负责数据治理体系搭建，涵盖数据采集、清洗、整合、标准化全流程，搭建高效数据资产目录，保障数据质量、安全与可用性，支撑业务决策与系统建设。2.主导核心系统建设，基于业务需求设计架构方案，推进系统开发、部署与迭代优化，解决系统运行中的技术瓶颈与兼容性问题，确保系统稳定高效运行。3.负责AI应用全流程开发，包括AI模型选型、调用与微调，搭建AI工作流、MCP（模型连接协议）及Skill（技能模块），实现AI能力与业务场景深度融合，开发落地实用的AI应用工具。4.参与技术方案评审与落地，结合业务痛点提出创新性技术解决方案，发挥主观能动性推进项目进展，保障项目按时高质量交付。5.持续跟进数据治理、系统建设、AI领域前沿技术动态，优化现有技术栈，推动团队技术能力提升，承担部分技术文档撰写与知识沉淀工作。三、任职要求（一）专业技能1.精通ES（Elasticsearch）数据库的设计、优化与运维，熟练掌握数据索引构建、查询优化、集群管理等操作，具备大规模数据检索与分析实战经验。2.熟练掌握Python、Go、编程语言，具备扎实的编程基础，能独立完成复杂业务模块开发、调试与优化，熟悉常用开发框架与工具链。3.深度熟悉AI技术栈，精通AI模型调用、部署与微调，熟练搭建AI工作流、MCP及Skill模块，能独立完成AI应用从需求分析到落地上线的全流程开发。4.具备数据治理实战经验，熟悉数据资产梳理、数据质量管控、数据安全合规等核心流程，有政府、公安领域数据治理项目经验者优先。5.熟悉系统架构设计与开发，能独立完成业务系统的需求分析、架构设计、开发部署与运维优化，具备跨系统集成、接口开发能力。6.有政府、公安相关系统开发经历者优先，熟悉相关领域业务流程与合规要求。（二）综合素质1.年龄35周岁以下（能力优秀者可突破年龄限制），身体健康，能适应高强度工作节奏。2.工作态度积极主动，具备强烈的工作热情与责任心，吃苦耐劳，能承受一定工作压力。3.具备良好的问题解决能力与创新思维，面对技术难题能主动排查、分析并寻找解决方案，善于发挥主观能动性推动工作进展。4.具备良好的沟通协作能力，能与业务团队、技术团队高效配合，推进项目落地。5.具备持续学习能力，主动跟进数据治理、系统建设、AI领域技术前沿，快速适配技术迭代与业务发展需求。（三）其他要求1.工作地点：深圳，长期驻深工作。2.具备政府、公安领域相关项目开发经验者优先录用。四、薪资待遇1.薪资范围：面议，根据候选人能力与经验面议，能力优异者可突破上限。2.福利保障：缴纳五险、法定节假日福利。3.成长支持：定期组织技术培训、行业交流活动，提供清晰的职业晋升通道与技术成长路径。4.其他福利：节日福利、定期团建、餐补、交通补贴。五、招聘流程1.简历投递：筛选符合基本条件的简历，邀请参加笔试。2.笔试考核：重点考察数据治理、ES数据库及分布式分析型数据库、Python/Go编程、AI技术等专业知识。3.面试环节：技术面试（深入考察技术实战能力、项目经验）+ 综合面试（评估综合素质、工作态度）。 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。
AI智能体应用开发工程师,济南汇通远德科技有限公司,1.5-1.6万,深圳·南山·粤海,3-5年,本科,民营,100-299人,软件/IT服务,,职位描述 学历背景：计算机、数学、统计学、电气工程、能源经济等相关专业，本科及以上第一学历统招本科，学信网可查）（某央企，需要有电力行业经验)3年以上Python开发经验，代码规范意识强熟悉FastAPI/Django/Flask等Web框架有AI工程化经验（模型部署、LLM接口调用、向量数据库等）数据分析能力：熟练使用Pandas/NumPy/Scikit-learn，有电力交易或能源数据分析经验优先熟悉电力交易数据（电价、负荷、新能源出力等）优先
数据标注/审核+双休+五险一金,四川蓉城蕾茗科技有限公司,8000-12000元,深圳·南山·桃源,1-3年,大专,合资,1000-9999人,产业互联网平台,B轮,职位描述 工作内容：1. 负责检核全球巡店问卷，确保检核数据的准确性和完整性；2. 与外部督导公司和第三方安装商系统进行对接，准确高效获取并处理相关数据； 3. 负责零售系统的日常维护，包括对接使用者跟进并处理相关异常问题； 任职要求：1. 具有大专或以上学历，商业分析、市场营销、计算机科学或相关领域优先考虑；2. 熟练掌握Excel操作，包括常见Vlookup函数、数透表等功能； 3. 拥有零售系统运维、管理、培训经验者、门店审核经验者优先； 福利待遇：1.基本工资+岗位津贴+奖金2.上班时间：10：30-20：003.周末双休+五险一金（入职购买）4.节假日福利+每月生日会+团建+下午茶小零食
智能外呼AI训练师,鹏劳人力,8000-10000元,深圳·南山·粤海,1-3年,大专,国企,100-299人,咨询服务,,职位描述 外派微众银行工作内容：1、负责智能语音的运营、训练A!智能对话机器人，实现逼真对话场景语音交互逻辑的话术设计与制作，并通过核心指标和数据的情况进行调整优化:2、跟踪和反馈机器人的使用情况，并输出相关运营数据报告，不断总结和优化:岗位要求：1.大专及以上学历;2.有智能客服相关产品的运营岗位工作经验或有AI项目交付经验优先考虑:3.较强的逻辑思维、沟通能力和抗压能力;4.主动性强，良好的沟通和协作能力:5.具有责任心，敢于担当，能承担一定的工作压力。 上班时间：8小时排班制，10:00-19:00，做五休二 待遇福利： 8-10K，享受五险一金、年终奖、服务年限津贴、带薪年假、司团建、特色节日庆祝、多种活动等福利
