岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
人工智能助理,兰色希望,6-11K,北京,本科,1-3年,20-99人,电力/热力/燃气/水利,,熟练人工智能行业，人⼯智能市场，⼈⼯智能供应链，带公司了解进入人⼯智能行业 需提供：离职证明、无犯罪证明、身体健康证明
人工智能实习生（AI建设）,北京理工雷科空天...,2-4K,北京,本科,经验不限,100-499人,铁路/船舶/航空/航天制造,定期体检|员工旅游|带薪年假|补充医疗保险|团建聚餐|五险一金,人工智能实习生（AIboss建设） 180-260boss元/天 岗位来自职责: 1.协助完成公司内部AI建设； 2.协助完成数据处理与分析任务 。 任职要求： 1.本科以上学历，人工智能相关专业。
诚招清华大学毕业生-AI人工智能专业,福石投资,15-20K,北京,本科,经验不限,20-99人,互联网,五险一金|生日福利|有无线网|年终奖|团建聚餐|带薪年假|节日福利,诚招清boss华大学毕业生-AI人工智能专业相关人才 来自互联网3特色产业园区-诚招广大优秀毕业生，岗位很多，欢迎投递 本科及以上学历，985/211优先，以下专业优先 1.金融管理/工商管理/政策研究等相关专业--孵化器/产业资源整合，FA对接，科技服务等 2.数据分析/AI人工智能等理工科相关专业--项目运营管理、AI大模型应用开发、行业政策分析、投融资等 3.法律相关专业(有财会背景优先)--公司内部法务，流程合规把控，日常合同审理等
兼职人工智能芯片研发合伙人,北京一树高药业,100-120元/时,北京,本科,1-3年,0-20人,生物/制药,,来自工作周期：长期兼职 每周工boss期：2-3boss天 工来自作时间：不限 工作时段：不限 结算方式：日结 招聘截止时间：2026-12-05 人工智能芯片研发设计
AI大模型算法工程师-人工智能,爱才数科,12-16K,北京,本科,1-3年,500-999人,计算机软件,,"此岗位要求AI行业出身，在职的不考虑，不符合的boss同学请勿扰谢谢 此岗位为星动纪元机器人公司的外来自包岗，不接受外包的同学勿扰谢谢 岗位要求： 1、全日制本科及以上学历，计算机、软件⼯程、电⼦信息等相关专业优先。 2、⾄少2年 人工智能相关领域的⼯作经验，熟悉模型训练/数据清洗/数据标注中的至少一项核心工作。 3、具备扎实的Python编程能力，熟悉常用的数据处理库（如Pandas, NumPy）。 4、了解机器学习/深度学习的基本概念和流程（如训练/验证/测试集划分、过拟合、损失函数等）。 加分项： 有接触或处理过机器人、自动驾驶、Embodied AI等相关领域数据（如图像序列、传感器数据、指令对）的经验。 了解常用的数据标注工具（如LabelImg, VGG Image Annotator等）或版本管理工具（如Git, DVC）。 工资区间：12k-16k 工作、面试地址：威盛大厦"
AI产品经理（计算机人工智能专业本硕）,实战云,16-25K,北京,本科,3-5年,20-99人,人工智能,节日福利|绩效奖金|法定节假日三薪|五险一金|股票期权|带薪年假|节假日加班费|加班补助|年终奖,工作职责 1. 负责大规来自模AI训练集群的稳定性建设，解决大规模训练中的故障自愈、调度编排boss等问题； 2. 负责保障在离线推理服务的⾼可⽤和低延迟，包括：弹性伸缩、⾃动扩缩容策略等； 3. 负责保障AI数据产线，包括但不限于：数据清洗、标注、预处理等； 4. 负责大规模多模态数据湖、存储系统的运维，包括但不限于：Spark、Flink、Trino等。 任职要求 1. 本科及以上学历，具备5年以上相关经验； 2. 熟悉Python/Go，有K8S Operator开发经验。至少具备⼀项以下要求： 1. 熟悉常见GPU硬件架构，了解NCCL通信库原理，RDMA通信； 1. 了解Pytorch/Megatron等训练框架，了解VLLM/TRT等推理框架； 或 1. 熟悉Spark/Flink/Hadoop等大数据组件，熟悉HDFS/Alluxio/对象存储等存储系统； 2. 熟悉数据湖技术（Hudi/Iceberg等），熟悉湖仓一体架构； 2.. 对图像、视频、文本等非结构化数据的存储、访问模式有深入理解，熟悉数据清洗、预处理、特征工程等流水线的稳定性保障工作。
AI人工智能讲师（项目合伙人）,北京顶当互动科技...,12-20K,北京,本科,1-3年,20-99人,互联网,带薪年假|交通补助|加班补助|员工旅游|零食下午茶|节日福利|通讯补贴|五险一金|年终奖|团建聚餐|生日福利|底薪加提成|餐补,工作周期：长期兼职 每来自周工期：无要求 工作时间：不限 ⼯作时段：全周轮班 结算⽅式：⽉结 招聘截止时间：2026-06-09 公司名称：咕泡科技 GUPAO TECH 工作地点：远程/线下（可选） 薪资范围：15K-30K（可⾯议） 岗位职责 负责 人工智能深度学习课程授课，涵盖： Python + 机器学习 + 深度学习 计算机视觉（YOLO系列、Transformer、OpenCV、MMLab等） 自然语言处理（BERT、GPT、Huggingface、LangChain等） 大模型、多模态、强化学习、推荐系统、语音识别、知识图谱等前沿方向 基于真实项目与数据集，进行 代码实战讲解 + 源码Debug解读 参与课程内容迭代与研发，输出技术文章/实战项目/论文解读 解答学员问题，指导项目实战，提升学员就业竞争力 任职要求 必须满足：博士及以上学历 3年以上AI相关项目或研发经验，熟练掌握Python、PyTorch/TensorFlow 至少精通以下一个方向并具备实战经验： 计算机视觉（目标检测、分割、生成模型、SAM、YOLO等） NLP大模型（BERT、GPT、LLM微调、RAG、Agent等） 多模态、强化学习、语音识别、图神经网络等 具备良好的表达能力和逻辑思维，能通俗易懂地讲解复杂技术 有教学/分享/博客/开源项目经验者优先 加分项： 发表过顶会论文（CVPR/ICCV/NeurIPS/ACL等） 有Kaggle、天池等竞赛获奖经历 具备企业内训或高校授课经验 熟悉MMLab、Huggingface、LangChain等开源生态 我们提供 有竞争力的薪资 + 项目奖金 + 年终奖 灵活办公（支持远程授课） 与一线大厂技术专家交流合作的机会 参与课程研发与出版的机会（书籍/专利/软著） 完善的讲师成长体系与职业发展路径 加入AI人才生态圈，接触最新技术与项目资源
AI Agent / AI 应用开发工程师,北京天下先智创机器人,25-35K,北京,本科,1-3年,20-99人,自动化设备,补充医疗保险|意外险|加班补助|定期体检|团建聚餐|带薪年假|员工旅游|五险一金,职位描述 1、负责ATH网站业务运营的研发支撑boss工作，构建适合业务快速迭代的平台能力； 2、boss对业务场景保持敏锐，快速熟悉业务流程并理解业务痛点，对产品需求进⾏沟通、分析，完成技术⽅案的制定，核⼼系统及模块的设计与研发，驱动产品快速迭代； 3、快速构建AI Agent/Skills 体系能力，实现开发及业务提效； 4、设计AI业务应用开发的技术规范与最佳实践，提升团队整体AI⼯程化水平。 职位要求 1、本科及以上学历，计算机相关专业3年以上JAVA相关开发经验； 2、具备扎实的Java基础，对JVM原理、Java高级特性和类库、网络与服务器编程、多线程编程等有深入的理解，精通面向对象的设计原则，熟练掌握常用的Java主流技术框架； 3、有AI工具使用及开发经验，有AI编码及业务AI提效的经验； 4、熟练使用主流LLM框架与工具，熟悉AI Agent开发范式，具备Agent Skill / 插件开发经验，理解Skill的设计原则； 5、有开源AI项目贡献或在GitHub上维护过高星标AI工具/框架优先； 6、具有大型分布式系统研发经验，掌握常见的架构设计方法和模式，理解大型网站所需要用到的架构和技术，对常见的中间件如分布式缓存、消息队列、RPC等有丰富的使用经验和深入理解； 7、思路清晰，有良好的业务理解、系统分析和软件设计能力; 具有良好的沟通能力和横向推动能力； 8、热爱技术，工作认真、严谨，具备较强的学习能力和责任心，能自我激励，善于沟通与团队协作。
人工智能科研实习生,中国信息通信研究院,150-200元/天,北京,本科,,1000-9999人,咨询,,"【岗位职责】 1、负责数据采集项目交付全过程管理，对项目交付结果负责;适配不同的数据交付需求，服从公司安排，可协助生产管理⽅提升项⽬运营效率； 2、执⾏数据采集： 穿戴动作捕捉设备或使用VR设备，远程操控⼈形机器人与机械臂，在指定场景执行标准或复合动作的数据采集； 3、确保数据质量： 严格按照数据采集脚本执行任务，对采集到的原始数据进行初步筛选、检查和整理，确保动作的规范性和数据的完整性； 4、设备与反馈： 负责VR设备、传感器等工具的日常维护与基础调试。与算法、运营团队协作，及时反馈设备故障、数据异常等问题，并提出优化建议； 5、佩戴VR设备 让机器人在不同场景下做不一样的数据采集；动手能力比较好 接触新的学习能力 上手需要比较快。 6、会有跨部门做交接，A做完去做B任务。 【任职要求】 1、计算机科学、人工智能、软件工程、电子信息、通信工程等相关专业优先，全日制专科及以上学历； 2、有计算机软件操作调试基础，了解LINUX、Windows系统开发、有实际机器人项目经验者优先； 3、自驱力强、沟通表达能力良好，对通用人工智能有着强烈的兴趣； 4、身体与协调性：身体健康 ；手眼协调能力强，空间感好，能精准复现指定动作，有舞蹈、体育、护理背景或VR游戏经验者优先； 5、学习能力： 能快速学习使用新的数据采集软件、VR/动捕设备及机械臂操作界面."" 薪资：基础薪资+补贴"
大数据工程师-人工智能方向,启天电子,20-25K,北京,本科,3-5年,100-499人,计算机服务,节日福利|餐补|员工旅游|全勤奖|加班补助|带薪年假|五险一金,岗位职责： 1. 以 AI Agent 为核来自心生产力开发软件系统，boss针对 Web 应来自用、API 服务、数据处理管道等业务需求，主导设计并执⾏ Agent-first 开发流程，通过⾃然语⾔将需求分解为子任务，由 Agent 完成编码、测试、调试、文档⽣成，人工负责架构把关与最终验收； 2. 基于 LangChain、AutoGen、CrewAI、MetaGPT 等框架，设计并编排多 Agent 协作流水线，构建产品经理 Agent → 架构师 Agent → 开发 Agent → 测试 Agent → 运维 Agent 的协作链路，实现端到端的软件自动生成与迭代； 3. 构建可复用的 Agent 工具链与知识库，为 Agent 配置项目专属的代码库、API 文档、设计规范、测试用例集，编写高质量的 Prompt 模板与“思维链”，确保 Agent 稳定生成符合企业标准的代码； 4. 审查 Agent 产出的架构设计、核心模块代码及安全策略，识别并修复逻辑盲区或幻觉问题，承担人工兜底职责，保障系统可靠性、可维护性与可扩展性； 5. 建立度量体系（如需求到交付周期、人工介入次数、Bug 密度等），持续优化 Prompt、工具调用策略及 Agent 协作模式，提升“人 + Agent”团队的整体开发效能； 6. 跟进 Devin、SWE-agent、OpenDevin、GPT-Engineer 等前沿项目，评估其在企业级复杂系统开发中的可行性，并推动内部试点落地。 任职要求： 1. 熟悉 LangChain、AutoGen、CrewAI、MetaGPT 等主流 Agent 框架，具备实际项目应用经验； 2. 具备软件工程、系统架构设计能力，能够对 AI 生成代码进行有效评审与优化； 3. 精通 Prompt 工程与“思维链”设计，有构建企业级 Agent 知识库和工具链的经验； 4. 具备较强的数据敏感性和系统优化意识，能够通过反馈数据驱动 Agent 流程迭代； 5. 关注 AI 自主编程与智能体工程化前沿，具备技术预研与落地能力。
