岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
Al豆包 人工智能回复 •13薪 新风口！,垣搌信息咨询,9-13K,上海,高中,经验不限,20-99人,其他金融业,保底工资|全勤奖|五险一金|年终奖|通讯补贴|团建聚餐|员工旅游|零食下午茶|节日福利|生日福利|绩效奖金|带薪年假|住房补贴,公司直招！工作轻松简单！长期稳定！ 新人带薪培训，主管boss亲自带！应届生毕业⽣也可以！ 薪资待遇： ⽆责7000+45%提成＋各种奖励（3000~30000）综合1~3W+。 ⼯作时间： 朝九晚五点半，8小时工作制，法定节假⽇正常休息！ 工作要求： 1.年龄20~32！ 2.普通话标准。 3.会简单的电脑操作。 4.性格亲切随和，有耐心，有上进心。 •享受5A级办公环境！办公室坐班！有空调！ •团建聚餐 员工旅游 零食下午茶 带薪年假 来这里做绽放的新秀，而不是春春的打工人
AI Agent 软件开发实习生,云深网络,150-200元/天,上海,本科,,20-99人,互联网,五险一金|定期体检|年终奖|通讯补贴|员工旅游|餐补|交通补助|带薪年假|节日福利,工作职责： 负来自责 AI Agent 产品与来自服务的研发，围绕业务场景进行系统设计与开发，提供满足业务需求的解决方案，持续交付可靠、稳定、可扩展的业务系统。 任职要求： 1.全⽇制⼤学本科及以上学历，计算机、通信等相关专业； 2.⾄少熟悉一种开发语言，包括但不限于Java、Python、Ruby、Go、TypeScript 等； 3.对AI驱动的⾃主开发（AI Agent / AI 编程 / 自动化）有可落地的实践经验，能够将AI能力有效融入实际开发流程； 4.具备良好的工程素养，对代码质量、系统稳定性和可维护性有基本追求。 能力与素质要求（补充）： 1.责任心强：对交付结果负责，能持续跟进问题直至闭环； 2.好奇心与学习能力：对新技术、新工具保持敏感度，愿意主动探索并快速上手； 3.实践与执行能力：能将想法快速落地为可运行、可验证的系统或功能； 4.规划能力：能够对开发任务进行合理拆解与时间安排管理； 5.沟通与分享意识：乐于交流技术方案与经验，具备跨角色协作能力。
人工智能技术合伙人,梦锡实业,15-16K,上海,本科,1-3年,0-20人,人工智能,节日福利|有无线网|五险一金|绩效奖金|年终奖,人工智能技术合作伙伴： HeartCanvas：影像影楼后期起家，升级AIboss心画 来自老业务：全国200+家影楼后期+相框合作，40家稳定客户，⽉流⽔10万+（真实转账流⽔可看） 新业务：把影楼拍的照片3秒变成会发光、会呼吸、会让妈妈哭的心画 已在影楼渠道验证转化38% 现在就差两个⼈： 一个能把Lottie实时融合干到极致的全栈技术合伙人 一个48小时能出1个让妈妈哭的动效大神 给你： 10-20%股权（vesting 4年，cliff 1年） 3个月试水，期满融天使补现金到行业top5% 2026情人节当天全量上线，冲10亿DAU 这不是从0到1，是把影楼的钱升级成AI的钱。 不是画PPT，是来分一个亿的肉。 有兴趣直接私信3个字：“能干” + 你最牛的作品。 影楼的钱已经赚了10年，AI心画的钱才刚开始 在HeartCanvas，我们深信每一张照片、每一件艺术作品背后，都蕴藏着独特的情感与故事。然而，传统的艺术和影像手段已经无法完整捕捉这些瞬间的情感波动。今天，我们正在通过AI技术与创意艺术的深度融合，重新定义情感艺术的未来。 为什么选择与我们共创？ 1. 颠覆性的艺术创新： HeartCanvas不仅仅是一个平台，它是一个情感艺术革命的运动。我们正在利用AI技术，将情感、回忆与艺术的表达推向全新的高度。 2. 快速扩展的市场： 随着家庭娱乐、教育、婚庆等行业对情感艺术的需求不断增长，HeartCanvas将迅速占领这一领域的市场份额，成为全球情感艺术的领导者。 3. 全球化合作机会： 加入我们的共创联盟，您将成为全球化创新网络的一部分，与世界各地的顶尖创意团队和技术专家一起推动行业的发展。 立即行动，共享情感艺术的未来 这是您加入一个充满无限创新机会和回报的项目的最佳时机。如果您热爱创新、致力于推动科技与艺术的融合，我们诚邀您加入HeartCanvas，与我们一起开创情感艺术的新时代！
AI工程专家,某大型互联网上市公司,70-100K·15薪,上海,本科,5-10年,10000人以上,互联网,节日福利|带薪年假|补充医疗保险|员工旅游|股票期权|混合办公|定期体检|五险一金|年终奖,"AI工程开发工程师 职位描述 参与大规模语言模型(LLM)及其他AI模型的在线服务部boss署、性能调优与推理加速，确保⾼并发、低延迟、⾼可⽤的模型服务。 参与设计和开发智能Agent运行框架，实现核心模块，包括不限于知识库存储与检索(RAG)、Agent的长短期记忆存储、对接多模型协作协议(如MCP/A2A)等新型交互机制。 负责搜索推荐算法⼯程后端系统的设计、开发和维护，保障系统稳定高效运行，实现高并发在线特征工程、模型推理服务集成和服务质量监控等核心模块。 参与系统架构的设计、优化及核心模块的代码实现(Java为主)。 与产品经理、算法工程师、前端工程师紧密协作，理解需求，设计技术方案并推动落地。 负责系统的日常维护、监控、故障排查和性能调优。 任职资格 有算法平台开发或与算法团队深度合作经验，特别是模型部署、模型在线推理服务的实际项目经验的优先 具备大语言模型或复杂模型在线部署(Triton, TorchServe, TensorFlow Serving)、性能调优和推理加速的实际项目经验的优先 熟悉智能Agent系统核心模块(如知识库/RAG/记忆管理/工具调用)的设计或开发经验，熟悉相关框架(LangChain/LlamaIndex/MCP/A2A协议)和向量数据库。 必需负责过C端高并发系统的设计、开发和稳定性保障。 具备一定架构设计能力、抽象能力和平台化落地能力。 必需精通Java后端开发语言，具备深厚的编程功底和面向对象编程思想，熟练使用MySQL、Oracle等关系型数据库，具备数据库设计、优化和故障排查能力，熟悉实时数据处理技术栈，如Flink、Kafka等，有实时数据处理任务实战经验。"
AI投资（国资基金-人工智能）,某小型基金公司,90-120K,上海,本科,5-10年,20-99人,基金,,1、来自负责AI及前沿科技领域的投资项目 2、深入分析人工智能、半导来自体、企业服务等来自细分赛道 3、国内外知名院校硕⼠及以上学历，理⼯科专业（计算机、电⼦工程、数学等） 优先。 4、工作经验： 拥有来⾃头部基金、券商、互联网公司（战略投资部） 的工作背景。 资深候选人（VP及以上）： 必须具备丰富的AI或硬科技项目落地经验，能独立 lead 项目。 年轻候选人（Asso/SA）： 要求背景稳定，职业路径清晰，有扎实的AI相关项目分析经验。
AI Architect (LLM应用),coupang,100-180K·13薪,上海,本科,5-10年,1000-9999人,电子商务,加班补助|节日福利|定期体检|员工旅游|年终奖|股票期权|餐补|零食下午茶|补充医疗保险|带薪年假|五险一金|带薪假期|补充公积金,1、协助相关部门部署人工智能 2、根据实际业务场景训来自练智能体
企业人工智能咨询工程师,观可咨询,200-300元/天,上海,大专,,0-20人,培训/辅导机构,五险一金|零食下午茶|绩效奖金|保底工资,岗位职责: 1. 来自参与AI知识库的搭建与优化，完成boss数据整理与分类工作； 2. 协助AI模型训练，通过数据标注和调优提升模型效果； 3. 探索AI应用场景，推动AI技术在业务中的实际落地。 任职要求: 1. 对AI技术有浓厚兴趣，具备基础的机器学习或自然语言处理知识； 2. 具备良好的沟通能⼒与团队协作精神，能与多角⾊⾼效配合； 3. 学习能力强，能够主动学习新技术并应用于实际⼯作中。
运维工程师（AI本地部署）,鲸准赋能,15-30K,上海,大专,5-10年,0-20人,咨询,底薪加提成|保底工资|绩效奖金|年终奖|五险一金,岗位职责： 1. 负责人工智能机器人手臂的日常保养与维修工作 2. 确保机器人手臂的正常运行，及时处理故障问题 3. 跟进机器人手臂的维护记录，提升设备性能和使用寿命 4. 具有相关行业经验的工程师 任职要求： 1. 具备良好的技术基础和动手能力，能够独立完成维修任务 2. 注重团队合作，能够与团队成员有效沟通 3. 对人工智能机器人领域有浓厚兴趣，有持续学习和改进的意愿
数据专家（AI）,某大型基金公司,20-40K·16薪,上海,本科,5-10年,100-499人,基金,团建聚餐|节日福利|包吃|零食下午茶|交通补助|补充医疗保险|定期体检|加班补助|五险一金|员工旅游|年终奖|有无线网|带薪年假,1、精通机器学习、深度学习、自然语言处理、计算机视觉等人工boss智能核⼼技术。具备10年以上⼈⼯智能领域研究、工作经验，5年以上技术团队管理经验。具备丰富的人⼯智能领域实践经验和卓越成果，主导过大型人工智能项目的全生命周期开发与落地，在金融、互联网等行业有成功案例者优先。 2．具备出色的创新学习能力、逻辑思维能力、沟通解决问题能力，良好的领导力和团队合作精神，拥有敏锐的技术洞察力和前瞻性思维。 3．具有国内外知名企业高级职务任职经历者优先。
AI 具身智能领域数据架构师-杭州/北京,某大型知名互联网公司,60-90K·16薪,上海,本科,5-10年,10000人以上,互联网,,岗位职责: 1. 负责公司人工智能产品的全面规划与管来自理，确保产品线从概念来自到市场推广的全过程。 2. 主导产品调研，确保产品策略与市场需boss求保持一致。 3. 组织并实施产品开发项目，确保按时交付高质量产品。 4. 与市场和销售团队紧密合作，提供产品知识和技术支持。 5. 维护并发展产品团队，确保团队成员具备跨部门沟通与协作的能力。 任职要求： 1. 具备强烈的市场洞察力，能够准确把握产品方向和客户需求。 2. 优秀的项目管理能力，能够有效组织资源，保证项目按时完成。 3. 强大的团队领导力和团队协作精神，能够激励团队达成目标。 4. 优秀的沟通能力和创新思维，能够与不同背景的团队成员有效沟通。 5. 对人工智能领域有深入理解，能够把握行业动态，为产品开发提供指导意见。
